编号	中文名	日文名	英文名	分类	图标	价格	口袋	排序编号	超级碎片	彩色螺丝	描述
172	哈密果	ロメのみ	Hondew Berry	1	172	80	5	13			如果把它交给宝可梦，宝可梦就会变得非常容易和训练家亲密，但特攻的基础点数会降低。
173	萄葡果	ウブのみ	Grepa Berry	1	173	80	5	14			如果把它交给宝可梦，宝可梦就会变得非常容易和训练家亲密，但特防的基础点数会降低。
174	茄番果	マトマのみ	Tamato Berry	1	174	80	5	15			如果把它交给宝可梦，宝可梦就会变得非常容易和训练家亲密，但速度的基础点数会降低。
184	巧可果	オッカのみ	Occa Berry	1	184	80	5	16			让宝可梦携带后，在受到效果绝佳的火属性招式攻击时，能令其威力减弱。
185	千香果	イトケのみ	Passho Berry	1	185	80	5	17			让宝可梦携带后，在受到效果绝佳的水属性招式攻击时，能令其威力减弱。
186	烛木果	ソクノのみ	Wacan Berry	1	186	80	5	18			让宝可梦携带后，在受到效果绝佳的电属性招式攻击时，能令其威力减弱。
187	罗子果	リンドのみ	Rindo Berry	1	187	80	5	19			让宝可梦携带后，在受到效果绝佳的草属性招式攻击时，能令其威力减弱。
188	番荔果	ヤチェのみ	Yache Berry	1	188	80	5	20			让宝可梦携带后，在受到效果绝佳的冰属性招式攻击时，能令其威力减弱。
189	莲蒲果	ヨプのみ	Chople Berry	1	189	80	5	21			让宝可梦携带后，在受到效果绝佳的格斗属性招式攻击时，能令其威力减弱。
190	通通果	ビアーのみ	Kebia Berry	1	190	80	5	22			让宝可梦携带后，在受到效果绝佳的毒属性招式攻击时，能令其威力减弱。
191	腰木果	シュカのみ	Shuca Berry	1	191	80	5	23			让宝可梦携带后，在受到效果绝佳的地面属性招式攻击时，能令其威力减弱。
192	棱瓜果	バコウのみ	Coba Berry	1	192	80	5	24			让宝可梦携带后，在受到效果绝佳的飞行属性招式攻击时，能令其威力减弱。
193	福禄果	ウタンのみ	Payapa Berry	1	193	80	5	25			让宝可梦携带后，在受到效果绝佳的超能力属性招式攻击时，能令其威力减弱。
194	扁樱果	タンガのみ	Tanga Berry	1	194	80	5	26			让宝可梦携带后，在受到效果绝佳的虫属性招式攻击时，能令其威力减弱。
195	草蚕果	ヨロギのみ	Charti Berry	1	195	80	5	27			让宝可梦携带后，在受到效果绝佳的岩石属性招式攻击时，能令其威力减弱。
196	佛柑果	カシブのみ	Kasib Berry	1	196	80	5	28			让宝可梦携带后，在受到效果绝佳的幽灵属性招式攻击时，能令其威力减弱。
197	莓榴果	ハバンのみ	Haban Berry	1	197	80	5	29			让宝可梦携带后，在受到效果绝佳的龙属性招式攻击时，能令其威力减弱。
198	刺耳果	ナモのみ	Colbur Berry	1	198	80	5	30			让宝可梦携带后，在受到效果绝佳的恶属性招式攻击时，能令其威力减弱。
199	霹霹果	リリバのみ	Babiri Berry	1	199	80	5	31			让宝可梦携带后，在受到效果绝佳的钢属性招式攻击时，能令其威力减弱。
200	灯浆果	ホズのみ	Chilan Berry	1	200	80	5	32			让宝可梦携带后，在受到一般属性招式攻击时，能令其威力减弱。
686	洛玫果	ロゼルのみ	Roseli Berry	1	686	80	5	33			让宝可梦携带后，在受到效果绝佳的妖精属性招式攻击时，能令其威力减弱。
2563	大竺葵进化石	メガニウムナイト	Meganiumite	7	2563	100000	7	1			让大竺葵携带后，在战斗时就能进行超级进化的一种神奇超级石。
2569	炎武王进化石	エンブオナイト	Emboarite	7	2569	100000	7	2			让炎武王携带后，在战斗时就能进行超级进化的一种神奇超级石。
2564	大力鳄进化石	オーダイルナイト	Feraligite	7	2564	100000	7	3			让大力鳄携带后，在战斗时就能进行超级进化的一种神奇超级石。
770	大针蜂进化石	スピアナイト	Beedrillite	7	770	100000	7	4			让大针蜂携带后，在战斗时就能进行超级进化的一种神奇超级石。
762	大比鸟进化石	ピジョットナイト	Pidgeotite	7	762	100000	7	5	180		让大比鸟携带后，在战斗时就能进行超级进化的一种神奇超级石。
658	电龙进化石	デンリュウナイト	Ampharosite	7	658	100000	7	6			让电龙携带后，在战斗时就能进行超级进化的一种神奇超级石。
676	暴鲤龙进化石	ギャラドスナイト	Gyaradosite	7	676	100000	7	7	240		让暴鲤龙携带后，在战斗时就能进行超级进化的一种神奇超级石。
2581	龟足巨铠进化石	ガメノデスナイト	Barbaracite	7	2581	100000	7	8			让龟足巨铠携带后，在战斗时就能进行超级进化的一种神奇超级石。
2561	宝石海星进化石	スターミナイト	Starminite	7	2561	100000	7	9			让宝石海星携带后，在战斗时就能进行超级进化的一种神奇超级石。
2579	花叶蒂进化石	フラエッテナイト	Floettite	7	2579	100000	7	10			让特别的花叶蒂携带后，在战斗时就能进行超级进化的一种神奇超级石。
2578	火炎狮进化石	カエンジシナイト	Pyroarite	7	2578	100000	7	11	240		让火炎狮携带后，在战斗时就能进行超级进化的一种神奇超级石。
2559	皮可西进化石	ピクシナイト	Clefablite	7	2559	100000	7	12	240		让皮可西携带后，在战斗时就能进行超级进化的一种神奇超级石。
679	胡地进化石	フーディナイト	Alakazite	7	679	100000	7	13	360		让胡地携带后，在战斗时就能进行超级进化的一种神奇超级石。
656	耿鬼进化石	ゲンガナイト	Gengarite	7	656	50000	7	14			让耿鬼携带后，在战斗时就能进行超级进化的一种神奇超级石。
2571	蜈蚣王进化石	ペンドラナイト	Scolipite	7	2571	100000	7	15	240		让蜈蚣王携带后，在战斗时就能进行超级进化的一种神奇超级石。
2560	大食花进化石	ウツボットナイト	Victreebelite	7	2560	100000	7	16			让大食花携带后，在战斗时就能进行超级进化的一种神奇超级石。
665	恰雷姆进化石	チャーレムナイト	Medichamite	7	665	50000	7	17			让恰雷姆携带后，在战斗时就能进行超级进化的一种神奇超级石。
682	雷电兽进化石	ライボルトナイト	Manectite	7	682	100000	7	18	180		让雷电兽携带后，在战斗时就能进行超级进化的一种神奇超级石。
657	沙奈朵进化石	サーナイトナイト	Gardevoirite	7	657	100000	7	19	240		让沙奈朵携带后，在战斗时就能进行超级进化的一种神奇超级石。
756	艾路雷朵进化石	エルレイドナイト	Galladite	7	756	100000	7	20	240		让艾路雷朵携带后，在战斗时就能进行超级进化的一种神奇超级石。
666	黑鲁加进化石	ヘルガナイト	Houndoominite	7	666	100000	7	21	180		让黑鲁加携带后，在战斗时就能进行超级进化的一种神奇超级石。
755	七夕青鸟进化石	チルタリスナイト	Altarianite	7	755	100000	7	22			让七夕青鸟携带后，在战斗时就能进行超级进化的一种神奇超级石。
757	差不多娃娃进化石	タブンネナイト	Audinite	7	757	100000	7	23	180		让差不多娃娃携带后，在战斗时就能进行超级进化的一种神奇超级石。
768	长耳兔进化石	ミミロップナイト	Lopunnite	7	768	100000	7	24	180		让长耳兔携带后，在战斗时就能进行超级进化的一种神奇超级石。
668	诅咒娃娃进化石	ジュペッタナイト	Banettite	7	668	100000	7	25			让诅咒娃娃携带后，在战斗时就能进行超级进化的一种神奇超级石。
767	喷火驼进化石	バクーダナイト	Cameruptite	7	767	100000	7	26			让喷火驼携带后，在战斗时就能进行超级进化的一种神奇超级石。
2570	龙头地鼠进化石	ドリュウズナイト	Excadrite	7	2570	100000	7	27	360		让龙头地鼠携带后，在战斗时就能进行超级进化的一种神奇超级石。
683	烈咬陆鲨进化石	ガブリアスナイト	Garchompite	7	683	70000	7	28			让烈咬陆鲨携带后，在战斗时就能进行超级进化的一种神奇超级石。
754	勾魂眼进化石	ヤミラミナイト	Sablenite	7	754	100000	7	29	180		让勾魂眼携带后，在战斗时就能进行超级进化的一种神奇超级石。
681	大嘴娃进化石	クチートナイト	Mawilite	7	681	100000	7	30			让大嘴娃携带后，在战斗时就能进行超级进化的一种神奇超级石。
677	阿勃梭鲁进化石	アブソルナイト	Absolite	7	677	100000	7	31			让阿勃梭鲁携带后，在战斗时就能进行超级进化的一种神奇超级石。
673	路卡利欧进化石	ルカリオナイト	Lucarionite	7	673	100000	7	32	240		让路卡利欧携带后，在战斗时就能进行超级进化的一种神奇超级石。
760	呆壳兽进化石	ヤドランナイト	Slowbronite	7	760	100000	7	33			让呆壳兽携带后，在战斗时就能进行超级进化的一种超级石。对伽勒尔的样子没有效果。
759	巨牙鲨进化石	サメハダナイト	Sharpedonite	7	759	100000	7	34	180		让巨牙鲨携带后，在战斗时就能进行超级进化的一种神奇超级石。
2573	麻麻鳗鱼王进化石	シビルドナイト	Eelektrossite	7	2573	100000	7	35	240		让麻麻鳗鱼王携带后，在战斗时就能进行超级进化的一种神奇超级石。
2562	快龙进化石	カイリュナイト	Dragoninite	7	2562	100000	7	36			让快龙携带后，在战斗时就能进行超级进化的一种神奇超级石。
659	妙蛙花进化石	フシギバナイト	Venusaurite	7	659	100000	7	37			让妙蛙花携带后，在战斗时就能进行超级进化的一种神奇超级石。
660	喷火龙进化石Ｘ	リザードナイトＸ	Charizardite X	7	660	100000	7	38			让喷火龙携带后，在战斗时就能进行超级进化的一种神奇超级石。
678	喷火龙进化石Ｙ	リザードナイトＹ	Charizardite Y	7	678	100000	7	39			让喷火龙携带后，在战斗时就能进行超级进化的一种神奇超级石。
661	水箭龟进化石	カメックスナイト	Blastoisinite	7	661	100000	7	40			让水箭龟携带后，在战斗时就能进行超级进化的一种神奇超级石。
2580	乌贼王进化石	カラマネナイト	Malamarite	7	2580	100000	7	41	240		让乌贼王携带后，在战斗时就能进行超级进化的一种神奇超级石。
2582	毒藻龙进化石	ドラミドナイト	Dragalgite	7	2582	100000	7	42	240		让毒藻龙携带后，在战斗时就能进行超级进化的一种神奇超级石。
763	冰鬼护进化石	オニゴーリナイト	Glalitite	7	763	100000	7	43	240		让冰鬼护携带后，在战斗时就能进行超级进化的一种神奇超级石。
2566	雪妖女进化石	ユキメノコナイト	Froslassite	7	2566	100000	7	44			让雪妖女携带后，在战斗时就能进行超级进化的一种神奇超级石。
674	暴雪王进化石	ユキノオナイト	Abomasite	7	674	50000	7	45			让暴雪王携带后，在战斗时就能进行超级进化的一种神奇超级石。
670	巨钳螳螂进化石	ハッサムナイト	Scizorite	7	670	50000	7	46			让巨钳螳螂携带后，在战斗时就能进行超级进化的一种神奇超级石。
671	凯罗斯进化石	カイロスナイト	Pinsirite	7	671	100000	7	47	240		让凯罗斯携带后，在战斗时就能进行超级进化的一种神奇超级石。
680	赫拉克罗斯进化石	ヘラクロスナイト	Heracronite	7	680	100000	7	48	240		让赫拉克罗斯携带后，在战斗时就能进行超级进化的一种神奇超级石。
2583	摔角鹰人进化石	ルチャブルナイト	Hawluchanite	7	2583	100000	7	49			让摔角鹰人携带后，在战斗时就能进行超级进化的一种神奇超级石。
2572	头巾混混进化石	ズルズキナイト	Scraftinite	7	2572	100000	7	50	240		让头巾混混携带后，在战斗时就能进行超级进化的一种神奇超级石。
2574	水晶灯火灵进化石	シャンデラナイト	Chandelurite	7	2574	100000	7	51	360		让水晶灯火灵携带后，在战斗时就能进行超级进化的一种神奇超级石。
672	化石翼龙进化石	プテラナイト	Aerodactylite	7	672	100000	7	52	240		让化石翼龙携带后，在战斗时就能进行超级进化的一种神奇超级石。
761	大钢蛇进化石	ハガネールナイト	Steelixite	7	761	70000	7	53			让大钢蛇携带后，在战斗时就能进行超级进化的一种神奇超级石。
667	波士可多拉进化石	ボスゴドラナイト	Aggronite	7	667	100000	7	54	360		让波士可多拉携带后，在战斗时就能进行超级进化的一种神奇超级石。
669	班基拉斯进化石	バンギラスナイト	Tyranitarite	7	669	100000	7	55			让班基拉斯携带后，在战斗时就能进行超级进化的一种神奇超级石。
2577	甲贺忍蛙进化石	ゲッコウガナイト	Greninjite	7	2577	100000	7	56			让甲贺忍蛙携带后，在战斗时就能进行超级进化的一种神奇超级石。
2587	列阵兵进化石	タイレーツナイト	Falinksite	7	2587	100000	7	57	240		让列阵兵携带后，在战斗时就能进行超级进化的一种神奇超级石。
2575	布里卡隆进化石	ブリガロナイト	Chesnaughtite	7	2575	100000	7	58			让布里卡隆携带后，在战斗时就能进行超级进化的一种神奇超级石。
2565	盔甲鸟进化石	エアームドナイト	Skarmorite	7	2565	100000	7	59	240		让盔甲鸟携带后，在战斗时就能进行超级进化的一种神奇超级石。
2576	妖火红狐进化石	マフォクシナイト	Delphoxite	7	2576	100000	7	60			让妖火红狐携带后，在战斗时就能进行超级进化的一种神奇超级石。
769	暴飞龙进化石	ボーマンダナイト	Salamencite	7	769	100000	7	61	360		让暴飞龙携带后，在战斗时就能进行超级进化的一种神奇超级石。
675	袋兽进化石	ガルーラナイト	Kangaskhanite	7	675	70000	7	62			让袋兽携带后，在战斗时就能进行超级进化的一种神奇超级石。
2585	老翁龙进化石	ジジーロナイト	Drampanite	7	2585	100000	7	63	360		让老翁龙携带后，在战斗时就能进行超级进化的一种神奇超级石。
758	巨金怪进化石	メタグロスナイト	Metagrossite	7	758	100000	7	64	360		让巨金怪携带后，在战斗时就能进行超级进化的一种神奇超级石。
2584	基格尔德进化石	ジガルデナイト	Zygardite	7	2584	100000	7	65			让基格尔德携带并在战斗时变成完全体形态，就能进行超级进化的一种超级石。
764	蒂安希进化石	ディアンシナイト	Diancite	7	764	100000	7	66			让蒂安希携带后，在战斗时就能进行超级进化的一种神奇超级石。
662	超梦进化石Ｘ	ミュウツナイトＸ	Mewtwonite X	7	662	100000	7	67			让超梦携带后，在战斗时就能进行超级进化的一种神奇超级石。
663	超梦进化石Ｙ	ミュウツナイトＹ	Mewtwonite Y	7	663	100000	7	68			让超梦携带后，在战斗时就能进行超级进化的一种神奇超级石。
