属性	星级	编号	总编号	重点	宝可梦
地面	4	2	155	450-0|530-0|553-0	450-0+40+42+1+49+51+20|449-0+36+38+1+45+47+80|530-0+40+42+1+49+51+20|529-0+36+38+1+45+47+80|553-0+42+44+1+51+53+20|552-0+39+41+1+48+50+80
地面	4	3	156	530-0|553-0|323-0	530-0+40+42+1+49+51+20|529-0+36+38+1+45+47+80|553-0+42+44+1+51+53+20|552-0+39+41+1+48+50+80|323-0+40+42+1+49+51+20|322-0+36+38+1+45+47+80
地面	4	4	157	553-0|323-0|450-0	553-0+42+44+1+51+53+20|552-0+39+41+1+48+50+80|323-0+40+42+1+49+51+20|322-0+36+38+1+45+47+80|450-0+40+42+1+49+51+20|449-0+36+38+1+45+47+80
地面	4	5	158	260-0|450-0|553-0	260-0+41+43+1+50+52+20|259-0+36+38+1+45+47+80|450-0+40+42+1+49+51+20|449-0+36+38+1+45+47+80|553-0+42+44+1+51+53+20|552-0+39+41+1+48+50+80
地面	4	6	159	105-0|323-0|450-0	105-0+39+41+1+48+50+20|104-0+36+38+1+45+47+80|323-0+40+42+1+49+51+20|322-0+36+38+1+45+47+80|450-0+40+42+1+49+51+20|449-0+36+38+1+45+47+80
地面	4	7	160	105-0|530-0|553-0	105-0+39+41+1+48+50+20|104-0+36+38+1+45+47+80|530-0+40+42+1+49+51+20|529-0+36+38+1+45+47+80|553-0+42+44+1+51+53+20|552-0+39+41+1+48+50+80
地面	4	8	161	770-0|450-0|530-0	770-0+42+44+1+51+53+20|769-0+37+39+1+46+48+80|450-0+40+42+1+49+51+20|449-0+36+38+1+45+47+80|530-0+40+42+1+49+51+20|529-0+36+38+1+45+47+80
地面	4	9	162	770-0|323-0|553-0	770-0+42+44+1+51+53+20|769-0+37+39+1+46+48+80|323-0+40+42+1+49+51+20|322-0+36+38+1+45+47+80|553-0+42+44+1+51+53+20|552-0+39+41+1+48+50+80
地面	4	10	163	623-0|618-0	623-0+43+45+1+52+54+20|622-0+37+39+1+46+48+80|618-0+37+39+1+46+48+20|618-0+37+39+1+46+48+20|618-1+37+39+1+46+48+80
岩石	3	1	164	095-0|703-0|246-0	095-0+24+26+1+33+35+100|703-0+24+26+1+33+35+100|246-0+23+25+1+32+34+100
岩石	3	2	165	095-0|688-0|246-0	095-0+24+26+1+33+35+100|688-0+24+26+1+33+35+100|246-0+23+25+1+32+34+100
岩石	3	3	166	095-0|688-0|696-0	095-0+24+26+1+33+35+100|688-0+24+26+1+33+35+100|696-0+24+26+1+33+35+100
岩石	3	4	167	095-0|305-0|698-0	095-0+24+26+1+33+35+100|305-0+32+34+1+41+43+20|304-0+23+25+1+32+34+80|698-0+24+26+1+33+35+100
岩石	3	5	168	963-0|688-0|703-0	963-0+22+24+1+31+33+100|688-0+24+26+1+33+35+100|703-0+24+26+1+33+35+100
岩石	3	6	169	963-0|095-0|696-0	963-0+22+24+1+31+33+100|095-0+24+26+1+33+35+100|696-0+24+26+1+33+35+100
岩石	3	7	170	963-0|095-0|698-0	963-0+22+24+1+31+33+100|095-0+24+26+1+33+35+100|698-0+24+26+1+33+35+100
岩石	3	8	171	964-0|095-0|703-0	964-0+26+28+1+35+37+20|963-0+22+24+1+31+33+80|095-0+24+26+1+33+35+100|703-0+24+26+1+33+35+100
岩石	3	9	172	964-0|688-0|703-0	964-0+26+28+1+35+37+20|963-0+22+24+1+31+33+80|688-0+24+26+1+33+35+100|703-0+24+26+1+33+35+100
岩石	3	10	173	966-0|703-0|246-0	966-0+24+26+1+33+35+100|703-0+24+26+1+33+35+100|246-0+23+25+1+32+34+100
岩石	4	1	174	306-0|689-0|247-0	306-0+42+44+1+51+53+20|305-0+40+42+1+49+51+80|689-0+42+44+1+51+53+20|688-0+37+39+1+46+48+80|247-0+39+41+1+48+50+20|246-0+36+38+1+45+47+80
岩石	4	2	175	306-0|247-0|713-1	306-0+42+44+1+51+53+20|305-0+40+42+1+49+51+80|247-0+39+41+1+48+50+20|246-0+36+38+1+45+47+80|713-0+41+43+1+50+52+20|712-0+37+39+1+46+48+80
岩石	4	3	176	965-0|306-0|247-0	965-0+41+43+1+50+52+20|964-0+38+40+1+47+49+80|306-0+42+44+1+51+53+20|305-0+40+42+1+49+51+80|247-0+39+41+1+48+50+20|246-0+36+38+1+45+47+80
岩石	4	4	177	965-0|689-0|247-0	965-0+41+43+1+50+52+20|964-0+38+40+1+47+49+80|689-0+42+44+1+51+53+20|688-0+37+39+1+46+48+80|247-0+39+41+1+48+50+20|246-0+36+38+1+45+47+80
岩石	4	5	178	965-0|306-0|689-0	965-0+41+43+1+50+52+20|964-0+38+40+1+47+49+80|306-0+42+44+1+51+53+20|305-0+40+42+1+49+51+80|689-0+42+44+1+51+53+20|688-0+37+39+1+46+48+80
岩石	4	6	179	967-0|306-0|247-0	967-0+41+43+1+50+52+20|966-0+36+38+1+45+47+80|306-0+42+44+1+51+53+20|305-0+40+42+1+49+51+80|247-0+39+41+1+48+50+20|246-0+36+38+1+45+47+80
岩石	4	7	180	967-0|689-0|247-0	967-0+41+43+1+50+52+20|966-0+36+38+1+45+47+80|689-0+42+44+1+51+53+20|688-0+37+39+1+46+48+80|247-0+39+41+1+48+50+20|246-0+36+38+1+45+47+80
岩石	5	1	181	142-0|697-0|699-0	142-0+53+55+1+62+64+100|697-0+55+57+1+64+66+20|696-0+52+54+1+61+63+80|699-0+55+57+1+64+66+20|698-0+52+54+1+61+63+80
虫	1	1	182	767-0|665-4|014-0	767-0+17+19+1+26+28+100|665-4+13+15+1+22+24+20|664-4+12+14+1+21+23+80|014-0+13+15+1+22+24+20|013-0+11+13+1+20+22+80
虫	1	2	183	767-0|666-4	767-0+17+19+1+26+28+100|666-4+15+17+1+24+26+20|664-4+12+14+1+21+23+80|666-4+15+17+1+24+26+20|665-4+13+15+1+22+24+80
虫	1	3	184	767-0|167-0|666-4	767-0+17+19+1+26+28+100|167-0+15+17+1+24+26+100|666-4+15+17+1+24+26+20|665-4+13+15+1+22+24+80
虫	1	4	185	767-0|543-0|666-4	767-0+17+19+1+26+28+100|543-0+15+17+1+24+26+100|666-4+15+17+1+24+26+20|665-4+13+15+1+22+24+80
虫	1	5	186	767-0|014-0|543-0	767-0+17+19+1+26+28+100|014-0+13+15+1+22+24+20|013-0+11+13+1+20+22+80|543-0+15+17+1+24+26+100
虫	1	6	187	767-0|543-0|167-0	767-0+17+19+1+26+28+100|543-0+15+17+1+24+26+100|167-0+15+17+1+24+26+100
虫	1	7	188	767-0|014-0|167-0	767-0+17+19+1+26+28+100|014-0+13+15+1+22+24+20|013-0+11+13+1+20+22+80|167-0+15+17+1+24+26+100
虫	1	8	189	767-0|014-0|666-4	767-0+17+19+1+26+28+100|014-0+13+15+1+22+24+20|013-0+11+13+1+20+22+80|666-4+15+17+1+24+26+20|664-4+12+14+1+21+23+80
虫	1	9	190	767-0|167-0|665-4	767-0+17+19+1+26+28+100|167-0+15+17+1+24+26+100|665-4+13+15+1+22+24+20|664-4+12+14+1+21+23+80
虫	1	10	191	767-0|665-4|543-0	767-0+17+19+1+26+28+100|665-4+13+15+1+22+24+20|664-4+12+14+1+21+23+80|543-0+15+17+1+24+26+100
虫	4	1	192	015-0|127-0|214-0	015-0+35+37+1+44+46+20|014-0+34+36+1+43+45+80|127-0+39+41+1+48+50+100|214-0+39+41+1+48+50+100
虫	4	2	193	123-0|212-0|545-0	123-0+37+39+1+46+48+80|212-0+40+42+1+49+51+20|123-0+37+39+1+46+48+80|545-0+39+41+1+48+50+20|544-0+37+39+1+46+48+80
虫	4	3	194	127-0|015-0|123-0	127-0+39+41+1+48+50+100|015-0+35+37+1+44+46+20|014-0+34+36+1+43+45+80|123-0+37+39+1+46+48+100
虫	4	4	195	214-0|015-0|123-0	214-0+39+41+1+48+50+100|015-0+35+37+1+44+46+20|014-0+34+36+1+43+45+80|123-0+37+39+1+46+48+100
虫	4	5	196	545-0|015-0|123-0	545-0+39+41+1+48+50+20|544-0+37+39+1+46+48+80|015-0+35+37+1+44+46+20|014-0+34+36+1+43+45+80|123-0+37+39+1+46+48+100
虫	4	6	197	900-0|212-0|123-0	900-0+40+42+1+49+51+20|123-0+37+39+1+46+48+100|212-0+40+42+1+49+51+20|123-0+37+39+1+46+48+100|123-0+37+39+1+46+48+100
虫	4	7	198	900-0|212-0|127-0	900-0+40+42+1+49+51+20|123-0+37+39+1+46+48+80|212-0+40+42+1+49+51+20|123-0+37+39+1+46+48+80|127-0+39+41+1+48+50+100
虫	4	8	199	900-0|212-0|214-0	900-0+40+42+1+49+51+20|123-0+37+39+1+46+48+80|212-0+40+42+1+49+51+20|123-0+37+39+1+46+48+80|214-0+39+41+1+48+50+100
虫	4	9	200	900-0|127-0|214-0	900-0+40+42+1+49+51+20|123-0+37+39+1+46+48+80|127-0+39+41+1+48+50+100|214-0+39+41+1+48+50+100
虫	4	10	201	900-0|015-0|545-0	900-0+40+42+1+49+51+20|123-0+37+39+1+46+48+80|015-0+35+37+1+44+46+20|014-0+34+36+1+43+45+80|545-0+39+41+1+48+50+20|544-0+37+39+1+46+48+80
幽灵	1	1	202	093-0|353-0|708-0	093-0+25+27+1+34+36+20|092-0+15+17+1+24+26+80|353-0+19+21+1+28+30+100|708-0+17+19+1+26+28+100
幽灵	1	2	203	302-0|708-0|607-0	302-0+22+24+1+31+33+100|708-0+17+19+1+26+28+100|607-0+21+23+1+30+32+100
幽灵	1	3	204	562-0|302-0|093-0	562-0+18+20+1+27+29+100|302-0+22+24+1+31+33+100|093-0+25+27+1+34+36+20|092-0+15+17+1+24+26+80
幽灵	1	4	205	562-0|353-0|607-0	562-0+18+20+1+27+29+100|353-0+19+21+1+28+30+100|607-0+21+23+1+30+32+100
幽灵	1	5	206	562-0|093-0|353-0	562-0+18+20+1+27+29+100|093-0+25+27+1+34+36+20|092-0+15+17+1+24+26+80|353-0+19+21+1+28+30+100
幽灵	1	6	207	562-0|708-0|710-0	562-0+18+20+1+27+29+100|708-0+17+19+1+26+28+100|710-0+17+19+1+26+28+100
幽灵	1	7	208	924-0|353-0|708-0	924-0+17+19+1+26+28+100|353-0+19+21+1+28+30+100|708-0+17+19+1+26+28+100
幽灵	1	8	209	924-0|093-0|607-0	924-0+17+19+1+26+28+100|093-0+25+27+1+34+36+20|092-0+15+17+1+24+26+80|607-0+21+23+1+30+32+100
幽灵	1	9	210	924-0|353-0|302-0	924-0+17+19+1+26+28+100|353-0+19+21+1+28+30+100|302-0+22+24+1+31+33+100
幽灵	1	10	211	924-0|710-0|607-0	924-0+17+19+1+26+28+100|710-0+17+19+1+26+28+100|607-0+21+23+1+30+32+100
幽灵	3	1	212	354-0|608-0|093-0	354-0+37+39+1+46+48+20|353-0+24+26+1+33+35+80|608-0+41+43+1+50+52+20|607-0+25+27+1+34+36+80|093-0+26+28+1+35+37+20|092-0+22+24+1+31+33+80
幽灵	3	2	213	778-0|354-0|608-0	778-0+24+26+1+33+35+100|354-0+37+39+1+46+48+20|353-0+24+26+1+33+35+80|608-0+41+43+1+50+52+20|607-0+25+27+1+34+36+80
幽灵	3	3	214	562-1|354-0|608-0	562-1+24+26+1+33+35+100|354-0+37+39+1+46+48+20|353-0+24+26+1+33+35+80|608-0+41+43+1+50+52+20|607-0+25+27+1+34+36+80
幽灵	4	1	215	094-0|609-0|709-0	094-0+41+43+1+50+52+20|093-0+38+40+1+47+49+80|609-0+46+48+1+55+57+20|608-0+42+44+1+51+53+80|709-0+40+42+1+49+51+20|708-0+36+38+1+45+47+80
幽灵	4	2	216	094-0|609-0|711-0	094-0+41+43+1+50+52+20|093-0+38+40+1+47+49+80|609-0+46+48+1+55+57+20|608-0+42+44+1+51+53+80|711-0+39+41+1+48+50+20|710-0+36+38+1+45+47+80
幽灵	4	3	217	094-0|709-0|711-0	094-0+41+43+1+50+52+20|093-0+38+40+1+47+49+80|709-0+40+42+1+49+51+20|708-0+36+38+1+45+47+80|711-0+39+41+1+48+50+20|710-0+36+38+1+45+47+80
幽灵	4	4	218	609-0|709-0|711-0	609-0+46+48+1+55+57+20|608-0+42+44+1+51+53+80|709-0+40+42+1+49+51+20|708-0+36+38+1+45+47+80|711-0+39+41+1+48+50+20|710-0+36+38+1+45+47+80
幽灵	4	5	219	563-0|094-0|711-0	563-0+40+42+1+49+51+20|562-0+36+38+1+45+47+80|094-0+41+43+1+50+52+20|093-0+38+40+1+47+49+80|711-0+39+41+1+48+50+20|710-0+36+38+1+45+47+80
幽灵	4	6	220	563-0|094-0|609-0	563-0+40+42+1+49+51+20|562-0+36+38+1+45+47+80|094-0+41+43+1+50+52+20|093-0+38+40+1+47+49+80|609-0+46+48+1+55+57+20|608-0+42+44+1+51+53+80
幽灵	4	7	221	563-0|709-0|609-0	563-0+40+42+1+49+51+20|562-0+36+38+1+45+47+80|709-0+40+42+1+49+51+20|708-0+36+38+1+45+47+80|609-0+46+48+1+55+57+20|608-0+42+44+1+51+53+80
幽灵	4	8	222	925-0|094-0|709-0	925-0+39+41+1+48+50+20|924-0+36+38+1+45+47+80|094-0+41+43+1+50+52+20|093-0+38+40+1+47+49+80|709-0+40+42+1+49+51+20|708-0+36+38+1+45+47+80
幽灵	4	9	223	925-0|709-0|711-0	925-0+39+41+1+48+50+20|924-0+36+38+1+45+47+80|709-0+40+42+1+49+51+20|708-0+36+38+1+45+47+80|711-0+39+41+1+48+50+20|710-0+36+38+1+45+47+80
幽灵	4	10	224	925-0|711-0|609-0	925-0+39+41+1+48+50+20|924-0+36+38+1+45+47+80|711-0+39+41+1+48+50+20|710-0+36+38+1+45+47+80|609-0+46+48+1+55+57+20|608-0+42+44+1+51+53+80
幽灵	5	1	225	976-0	976-0+62+64+1+71+73+100
钢	2	1	226	304-0|374-0|679-0	304-0+20+22+1+29+31+100|374-0+17+19+1+26+28+100|679-0+20+22+1+29+31+100
钢	2	2	227	304-0|374-0|707-0	304-0+20+22+1+29+31+100|374-0+17+19+1+26+28+100|707-0+24+26+1+33+35+100
钢	2	3	228	374-0|679-0|707-0	374-0+17+19+1+26+28+100|679-0+20+22+1+29+31+100|707-0+24+26+1+33+35+100
钢	2	4	229	1000-0|304-0|374-0	1000-0+18+20+1+27+29+100|304-0+20+22+1+29+31+100|374-0+17+19+1+26+28+100
钢	2	5	230	1000-0|304-0|679-0	1000-0+18+20+1+27+29+100|304-0+20+22+1+29+31+100|679-0+20+22+1+29+31+100
钢	2	6	231	1000-0|304-0|707-0	1000-0+18+20+1+27+29+100|304-0+20+22+1+29+31+100|707-0+24+26+1+33+35+100
钢	2	7	232	1000-0|679-0|707-0	1000-0+18+20+1+27+29+100|679-0+20+22+1+29+31+100|707-0+24+26+1+33+35+100
钢	2	8	233	052-2|304-0|707-0	052-2+19+21+1+28+30+100|304-0+20+22+1+29+31+100|707-0+24+26+1+33+35+100
钢	2	9	234	052-2|374-0|679-0	052-2+19+21+1+28+30+100|374-0+17+19+1+26+28+100|679-0+20+22+1+29+31+100
钢	2	10	235	052-2|374-0|707-0	052-2+19+21+1+28+30+100|374-0+17+19+1+26+28+100|707-0+24+26+1+33+35+100
钢	3	1	236	227-0|305-0|680-0	227-0+25+27+1+34+36+100|305-0+32+34+1+41+43+20|304-0+23+25+1+32+34+80|680-0+35+37+1+44+46+20|679-0+24+26+1+33+35+80
钢	3	2	237	227-0|305-0|303-0	227-0+25+27+1+34+36+100|305-0+32+34+1+41+43+20|304-0+23+25+1+32+34+80|303-0+26+28+1+35+37+100
钢	3	3	238	227-0|680-0|303-0	227-0+25+27+1+34+36+100|680-0+35+37+1+44+46+20|679-0+24+26+1+33+35+80|303-0+26+28+1+35+37+100
钢	3	4	239	305-0|680-0|303-0	305-0+32+34+1+41+43+20|304-0+23+25+1+32+34+80|680-0+35+37+1+44+46+20|679-0+24+26+1+33+35+80|303-0+26+28+1+35+37+100
钢	3	5	240	1001-0|227-0|303-0	1001-0+26+28+1+35+37+20|1000-0+22+24+1+31+33+80|227-0+25+27+1+34+36+100|303-0+26+28+1+35+37+100
钢	3	6	241	1001-0|227-0|305-0	1001-0+26+28+1+35+37+20|1000-0+22+24+1+31+33+80|227-0+25+27+1+34+36+100|305-0+32+34+1+41+43+20|304-0+23+25+1+32+34+80
钢	3	7	242	1001-0|227-0|680-0	1001-0+26+28+1+35+37+20|1000-0+22+24+1+31+33+80|227-0+25+27+1+34+36+100|680-0+35+37+1+44+46+20|679-0+24+26+1+33+35+80
钢	3	8	243	1001-0|305-0|680-0	1001-0+26+28+1+35+37+20|1000-0+22+24+1+31+33+80|305-0+32+34+1+41+43+20|304-0+23+25+1+32+34+80|680-0+35+37+1+44+46+20|679-0+24+26+1+33+35+80
钢	3	9	244	1001-0|305-0|303-0	1001-0+26+28+1+35+37+20|1000-0+22+24+1+31+33+80|305-0+32+34+1+41+43+20|304-0+23+25+1+32+34+80|303-0+26+28+1+35+37+100
钢	3	10	245	1001-0|680-0|303-0	1001-0+26+28+1+35+37+20|1000-0+22+24+1+31+33+80|680-0+35+37+1+44+46+20|679-0+24+26+1+33+35+80|303-0+26+28+1+35+37+100
钢	4	1	246	208-0|306-0|375-0	208-0+38+40+1+47+49+20|095-0+37+39+1+46+48+80|306-0+42+44+1+51+53+20|305-0+40+42+1+49+51+80|375-0+37+39+1+46+48+20|374-0+35+37+1+44+46+80
钢	4	2	247	306-0|208-0|530-0	306-0+42+44+1+51+53+20|305-0+40+42+1+49+51+80|208-0+38+40+1+47+49+20|095-0+37+39+1+46+48+80|530-0+40+42+1+49+51+20|529-0+36+38+1+45+47+80
钢	4	3	248	306-0|375-0|212-0	306-0+42+44+1+51+53+20|305-0+40+42+1+49+51+80|375-0+37+39+1+46+48+20|374-0+35+37+1+44+46+80|212-0+40+42+1+49+51+20|123-0+37+39+1+46+48+80
钢	4	4	249	375-0|208-0|530-0	375-0+37+39+1+46+48+20|374-0+35+37+1+44+46+80|208-0+38+40+1+47+49+20|095-0+37+39+1+46+48+80|530-0+40+42+1+49+51+20|529-0+36+38+1+45+47+80
钢	4	5	250	681-0|306-0|212-0	681-0+40+42+1+49+51+20|680-0+41+43+1+50+52+80|306-0+42+44+1+51+53+20|305-0+40+42+1+49+51+80|212-0+40+42+1+49+51+20|123-0+37+39+1+46+48+80
钢	4	6	251	1002-0|208-0|530-0	1002-0+41+43+1+50+52+20|1001-0+38+40+1+47+49+80|208-0+38+40+1+47+49+20|095-0+37+39+1+46+48+80|530-0+40+42+1+49+51+20|529-0+36+38+1+45+47+80
钢	4	7	252	1002-0|306-0|212-0	1002-0+41+43+1+50+52+20|1001-0+38+40+1+47+49+80|306-0+42+44+1+51+53+20|305-0+40+42+1+49+51+80|212-0+40+42+1+49+51+20|123-0+37+39+1+46+48+80
钢	4	8	253	1002-0|375-0|448-0	1002-0+41+43+1+50+52+20|1001-0+38+40+1+47+49+80|375-0+37+39+1+46+48+20|374-0+35+37+1+44+46+80|448-0+40+42+1+49+51+20|447-0+34+36+1+43+45+80
钢	4	9	254	863-0|306-0|208-0	863-0+39+41+1+48+50+20|052-2+36+38+1+45+47+80|306-0+42+44+1+51+53+20|305-0+40+42+1+49+51+80|208-0+38+40+1+47+49+20|095-0+37+39+1+46+48+80
钢	4	10	255	863-0|375-0|208-0	863-0+39+41+1+48+50+20|052-2+36+38+1+45+47+80|375-0+37+39+1+46+48+20|374-0+35+37+1+44+46+80|208-0+38+40+1+47+49+20|095-0+37+39+1+46+48+80
火	2	1	256	667-0|322-0|004-0	667-0+20+22+1+29+31+100|322-0+20+22+1+29+31+100|004-0+16+18+1+25+27+100
火	2	2	257	667-0|513-0|498-0	667-0+20+22+1+29+31+100|513-0+17+19+1+26+28+100|498-0+16+18+1+25+27+100
火	2	3	258	228-0|322-0|653-0	228-0+18+20+1+27+29+100|322-0+20+22+1+29+31+100|653-0+16+18+1+25+27+100
火	2	4	259	255-0|322-0|228-0	255-0+16+18+1+25+27+100|322-0+20+22+1+29+31+100|228-0+18+20+1+27+29+100
火	2	5	260	1003-0|322-0|228-0	1003-0+19+21+1+28+30+100|322-0+20+22+1+29+31+100|228-0+18+20+1+27+29+100
火	2	6	261	1003-0|322-0|607-0	1003-0+19+21+1+28+30+100|322-0+20+22+1+29+31+100|607-0+22+24+1+31+33+100
火	2	7	262	1003-0|513-0|228-0	1003-0+19+21+1+28+30+100|513-0+17+19+1+26+28+100|228-0+18+20+1+27+29+100
火	2	8	263	1003-0|607-0|513-0	1003-0+19+21+1+28+30+100|607-0+22+24+1+31+33+100|513-0+17+19+1+26+28+100
火	2	9	264	1003-0|667-0|513-0	1003-0+19+21+1+28+30+100|667-0+20+22+1+29+31+100|513-0+17+19+1+26+28+100
火	2	10	265	1003-0|667-0|607-0	1003-0+19+21+1+28+30+100|667-0+20+22+1+29+31+100|607-0+22+24+1+31+33+100
火	3	1	266	229-0|662-0|608-0	229-0+26+28+1+35+37+20|228-0+22+24+1+31+33+80|662-0+23+25+1+32+34+20|661-0+20+22+1+29+31+80|608-0+41+43+1+50+52+20|607-0+25+27+1+34+36+80
火	3	2	267	608-0|229-0|005-0	608-0+41+43+1+50+52+20|607-0+25+27+1+34+36+80|229-0+26+28+1+35+37+20|228-0+22+24+1+31+33+80|005-0+23+25+1+32+34+20|004-0+20+22+1+29+31+80
火	3	3	268	662-0|608-0|499-0	662-0+23+25+1+32+34+20|661-0+20+22+1+29+31+80|608-0+41+43+1+50+52+20|607-0+25+27+1+34+36+80|499-0+23+25+1+32+34+20|498-0+20+22+1+29+31+80
火	3	4	269	229-0|662-0|654-0	229-0+26+28+1+35+37+20|228-0+22+24+1+31+33+80|662-0+23+25+1+32+34+20|661-0+20+22+1+29+31+80|654-0+23+25+1+32+34+20|653-0+20+22+1+29+31+80
火	3	5	270	939-0|662-0|608-0	939-0+26+28+1+35+37+20|938-0+21+23+1+30+32+80|662-0+23+25+1+32+34+20|661-0+20+22+1+29+31+80|608-0+41+43+1+50+52+20|607-0+25+27+1+34+36+80
火	3	6	271	939-0|608-0|229-0	939-0+26+28+1+35+37+20|938-0+21+23+1+30+32+80|608-0+41+43+1+50+52+20|607-0+25+27+1+34+36+80|229-0+26+28+1+35+37+20|228-0+22+24+1+31+33+80
火	3	7	272	939-0|229-0|662-0	939-0+26+28+1+35+37+20|938-0+21+23+1+30+32+80|229-0+26+28+1+35+37+20|228-0+22+24+1+31+33+80|662-0+23+25+1+32+34+20|661-0+20+22+1+29+31+80
火	3	8	273	256-0|662-0|608-0	256-0+23+25+1+32+34+20|255-0+20+22+1+29+31+80|662-0+23+25+1+32+34+20|661-0+20+22+1+29+31+80|608-0+41+43+1+50+52+20|607-0+25+27+1+34+36+80
火	4	1	274	006-0|514-0|609-0	006-0+41+43+1+50+52+20|005-0+36+38+1+45+47+80|514-0+37+39+1+46+48+20|513-0+35+37+1+44+46+80|609-0+46+48+1+55+57+20|608-0+42+44+1+51+53+80
火	4	2	275	500-0|609-0|663-0	500-0+41+43+1+50+52+20|499-0+36+38+1+45+47+80|609-0+46+48+1+55+57+20|608-0+42+44+1+51+53+80|663-0+41+43+1+50+52+20|662-0+36+38+1+45+47+80
火	4	3	276	655-0|663-0|514-0	655-0+41+43+1+50+52+20|654-0+36+38+1+45+47+80|663-0+41+43+1+50+52+20|662-0+36+38+1+45+47+80|514-0+37+39+1+46+48+20|513-0+35+37+1+44+46+80
火	4	4	277	514-0|609-0|668-0	514-0+37+39+1+46+48+20|513-0+35+37+1+44+46+80|609-0+46+48+1+55+57+20|608-0+42+44+1+51+53+80|668-0+41+43+1+50+52+20|667-0+36+38+1+45+47+80
火	4	5	278	609-0|663-0|668-0	609-0+46+48+1+55+57+20|608-0+42+44+1+51+53+80|663-0+41+43+1+50+52+20|662-0+36+38+1+45+47+80|668-0+41+43+1+50+52+20|667-0+36+38+1+45+47+80
火	4	6	279	257-0|514-0|323-0	257-0+41+43+1+50+52+20|256-0+36+38+1+45+47+80|514-0+37+39+1+46+48+20|513-0+35+37+1+44+46+80|323-0+40+42+1+49+51+20|322-0+36+38+1+45+47+80
火	4	7	280	105-1|609-0|668-0	105-1+39+41+1+48+50+20|104-0+36+38+1+45+47+80|609-0+46+48+1+55+57+20|608-0+42+44+1+51+53+80|668-0+41+43+1+50+52+20|668-0+41+43+1+50+52+80
火	4	8	281	105-1|668-0|514-0	105-1+39+41+1+48+50+20|104-0+36+38+1+45+47+80|668-0+41+43+1+50+52+20|668-0+41+43+1+50+52+80|514-0+37+39+1+46+48+20|513-0+35+37+1+44+46+80
火	4	9	282	105-1|323-0|136-0	105-1+39+41+1+48+50+20|104-0+36+38+1+45+47+80|323-0+40+42+1+49+51+20|322-0+36+38+1+45+47+80|136-0+36+38+1+45+47+20|133-0+35+37+1+44+46+80
火	4	10	283	105-1|663-0|136-0	105-1+39+41+1+48+50+20|104-0+36+38+1+45+47+80|663-0+41+43+1+50+52+20|662-0+36+38+1+45+47+80|136-0+36+38+1+45+47+20|133-0+35+37+1+44+46+80
火	5	1	284	257-0|006-0|655-0	257-0+54+56+1+63+65+20|255-0+50+52+1+59+61+80|006-0+54+56+1+63+65+20|004-0+50+52+1+59+61+80|655-0+54+56+1+63+65+20|653-0+50+52+1+59+61+80
水	2	1	285	515-0|120-0|007-0	515-0+17+19+1+26+28+100|120-0+21+23+1+30+32+100|007-0+16+18+1+25+27+100
水	2	2	286	688-0|318-0|158-0	688-0+21+23+1+30+32+100|318-0+19+21+1+28+30+100|158-0+16+18+1+25+27+100
水	2	3	287	120-0|688-0|656-0	120-0+21+23+1+30+32+100|688-0+21+23+1+30+32+100|656-0+16+18+1+25+27+100
水	2	4	288	258-0|318-0|515-0	258-0+16+18+1+25+27+100|318-0+19+21+1+28+30+100|515-0+17+19+1+26+28+100
水	2	5	289	211-0|318-0|692-0	211-0+19+21+1+28+30+100|318-0+19+21+1+28+30+100|692-0+20+22+1+29+31+100
水	2	6	290	211-0|515-0|692-0	211-0+19+21+1+28+30+100|515-0+17+19+1+26+28+100|692-0+20+22+1+29+31+100
水	2	7	291	211-0|120-0|692-0	211-0+19+21+1+28+30+100|120-0+21+23+1+30+32+100|692-0+20+22+1+29+31+100
水	2	8	292	211-0|318-0|688-0	211-0+19+21+1+28+30+100|318-0+19+21+1+28+30+100|688-0+21+23+1+30+32+100
水	2	9	293	211-0|688-0|120-0	211-0+19+21+1+28+30+100|688-0+21+23+1+30+32+100|120-0+21+23+1+30+32+100
水	2	10	294	349-0|129-0|515-0	349-0+20+22+1+29+31+100|129-0+17+19+1+26+28+100|129-0+17+19+1+26+28+100|515-0+17+19+1+26+28+100
水	3	1	295	319-0|693-0|079-0	319-0+30+32+1+39+41+20|318-0+23+25+1+32+34+80|693-0+37+39+1+46+48+20|692-0+24+26+1+33+35+80|079-0+24+26+1+33+35+100
水	3	2	296	319-0|693-0|008-0	319-0+30+32+1+39+41+20|318-0+23+25+1+32+34+80|693-0+37+39+1+46+48+20|692-0+24+26+1+33+35+80|008-0+23+25+1+32+34+20|007-0+20+22+1+29+31+80
水	3	3	297	319-0|693-0|159-0	319-0+30+32+1+39+41+20|318-0+23+25+1+32+34+80|693-0+37+39+1+46+48+20|692-0+24+26+1+33+35+80|159-0+24+26+1+33+35+20|158-0+20+22+1+29+31+80
水	3	4	298	319-0|693-0|657-0	319-0+30+32+1+39+41+20|318-0+23+25+1+32+34+80|693-0+37+39+1+46+48+20|692-0+24+26+1+33+35+80|657-0+23+25+1+32+34+20|656-0+20+22+1+29+31+80
水	3	5	299	259-0|319-0|693-0	259-0+23+25+1+32+34+20|258-0+20+22+1+29+31+80|319-0+30+32+1+39+41+20|318-0+23+25+1+32+34+80|693-0+37+39+1+46+48+20|692-0+24+26+1+33+35+80
