编号	名称	地点	X	Y	道具	图标
369	itb_a0202_18	浦蓝９号街区	572	3014	攻击增强剂	bag-道具
370	itb_a0202_19	浦蓝大道	1050	3214	高级球	bag-精灵球
371	itb_a0202_21	浦蓝８号街区	797	3369	好伤药	bag-回复
372	itb_a0202_22	浦蓝大道	884	3391	防御增强剂	bag-道具
373	itb_a0202_23	浦蓝大道	1006	3355	ＨＰ增强剂	bag-道具
374	itb_a0202_24	浦蓝大道	962	3432	好伤药	bag-回复
375	itb_a0202_25	浦蓝大道	1152	3148	超级球	bag-精灵球
376	itb_a0202_26	浦蓝８号街区	851	3067	高级球	bag-精灵球
377	itb_a0202_27	浦蓝６号街区	1155	2940	超级球	bag-精灵球
378	itb_a0202_28	浦蓝６号街区	1082	2774	灼伤药	bag-回复
379	itb_a0202_29	浦蓝９号街区	778	2858	超级球	bag-精灵球
380	itb_a0202_30	１０号野生特区	537	2876	厉害伤药	bag-回复
381	itb_a0202_31	浦蓝８号街区	845	3024	解眠药	bag-回复
382	itb_a0202_32	浦蓝８号街区	755	3156	好伤药	bag-回复
383	itb_a0202_33	南侧大道	551	3286	高级球	bag-精灵球
384	itb_a0202_34	南侧大道	382	3005	厉害伤药	bag-回复
385	itb_a0202_35	蓉粉区	226	2642	好伤药	bag-回复
386	itb_a0202_36	浦蓝４号街区	967	2473	伤药	bag-回复
387	itb_a0202_37	１０号野生特区	534	2595	超级球	bag-精灵球
388	itb_a0202_38	１０号野生特区	692	2554	厉害伤药	bag-回复
389	itb_a0202_39	空空空地	878	2511	超级球	bag-精灵球
390	itb_a0202_40	５号野生特区	1511	2277	计时球	bag-精灵球
391	itb_a0202_41	浦蓝４号街区	1349	2419	捕网球	bag-精灵球
392	itb_a0202_42	浦蓝４号街区	1084	2486	厉害伤药	bag-回复
393	itb_a0202_43	浦蓝４号街区	978	2517	超级球	bag-精灵球
394	itb_a0202_44	１０号野生特区	872	2691	灼伤药	bag-回复
395	itb_a0202_45	浦蓝４号街区	1053	2694	超级球	bag-精灵球
396	itb_a0202_46	浦蓝４号街区	1231	2479	好伤药	bag-回复
397	itb_a0202_47	浦蓝６号街区	1175	2693	防御增强剂	bag-道具
398	itb_a0202_48	浦蓝４号街区	1048	2556	冰之石	bag-道具
399	itb_a0202_49	浦蓝４号街区	955	2458	水之石	bag-道具
400	itb_a0202_50	浦蓝６号街区	1075	2754	巢穴球	bag-精灵球
401	itb_a0202_51	浦蓝４号街区	1255	2615	彩色螺丝	colorful-screw
402	itb_a0202_52	浦蓝４号街区	1126	2533	日之石	bag-道具
403	itb_a0202_53	蓉粉３号街区	1305	2431	防御增强剂	bag-道具
404	itb_a0202_54	浦蓝２号街区	1415	2594	万灵药	bag-回复
405	itb_a0202_55	浦蓝６号街区	1229	2838	捕网球	bag-精灵球
406	itb_a0202_56	浦蓝４号街区	961	2696	大珍珠	bag-宝物
407	itb_a0202_57	浦蓝６号街区	873	2897	超级球	bag-精灵球
408	itb_a0202_58	浦蓝６号街区	1021	2870	好伤药	bag-回复
409	itb_a0202_59	浦蓝大道	988	3010	解毒药	bag-回复
410	itb_a0202_60	浦蓝９号街区	846	2928	攻击增强剂	bag-道具
411	itb_a0202_61	浦蓝大道	945	3065	万灵药	bag-回复
412	itb_a0202_62	浦蓝大道	1148	3111	高级球	bag-精灵球
413	itb_a0202_63	浦蓝大道	1256	3033	月之石	bag-道具
414	itb_a0202_64	浦蓝大道	1145	2943	全满药	bag-回复
415	itb_a0202_65	浦蓝大道	1046	3051	厉害伤药	bag-回复
416	itb_a0202_66	浦蓝大道	1215	2997	万灵药	bag-回复
417	itb_a0202_67	浦蓝大道	1156	3084	速度增强剂	bag-道具
418	itb_a0202_68	浦蓝大道	1077	3211	超级球	bag-精灵球
419	itb_a0202_69	浦蓝大道	993	3194	活力碎片	bag-回复
420	itb_a0202_70	浦蓝８号街区	710	3242	计时球	bag-精灵球
421	itb_a0202_71	浦蓝８号街区	794	3074	黑暗球	bag-精灵球
422	itb_a0202_72	浦蓝大道	926	3096	好伤药	bag-回复
423	itb_a0202_73	浦蓝８号街区	729	3195	厉害伤药	bag-回复
424	itb_a0202_74	浦蓝９号街区	505	3003	叶之石	bag-道具
425	itb_a0202_75	浦蓝９号街区	622	3166	速度增强剂	bag-道具
426	itb_a0202_76	浦蓝８号街区	704	3052	高级球	bag-精灵球
427	itb_a0202_77	浦蓝９号街区	797	2987	特攻增强剂	bag-道具
428	itb_a0202_78	１０号野生特区	605	2937	经验糖果Ｍ	bag-道具
429	itb_a0202_79	１０号野生特区	626	2743	招式学习器０３４	bag-招式学习器
430	itb_a0202_80	５号野生特区	1460	2355	好伤药	bag-回复
431	itb_a0202_81	５号野生特区	1584	2357	万灵药	bag-回复
432	itb_a0202_82	５号野生特区	1724	2278	活力碎片	bag-回复
433	itb_a0202_83	５号野生特区	1688	2372	超级球	bag-精灵球
434	itb_a0202_84	５号野生特区	1676	2423	叶之石	bag-道具
435	itb_a0202_85	５号野生特区	1625	2439	超级球	bag-精灵球
436	itb_a0202_86	５号野生特区	1757	2644	特防增强剂	bag-道具
437	itb_a0202_87	５号野生特区	1921	2672	活力碎片	bag-回复
438	itb_a0202_88	５号野生特区	1876	2435	解麻药	bag-回复
439	itb_a0202_89	南侧大道	527	3219	彩色螺丝	colorful-screw
440	itb_a0202_90	浦蓝９号街区	484	3203	雷之石	bag-道具
441	itb_a0202_91	南侧大道	491	3214	神奇糖果	bag-道具
442	itb_a0202_92	南侧大道	560	3281	防御增强剂	bag-道具
443	itb_a0202_93	南侧大道	502	3219	特攻增强剂	bag-道具
444	itb_a0202_94	南侧大道	258	2734	彩色螺丝	colorful-screw
445	itb_a0202_95	南侧大道	275	2762	攻击增强剂	bag-道具
446	itb_a0202_96	浦蓝大道	1271	3011	彩色螺丝	colorful-screw
447	itb_a0202_97	浦蓝９号街区	827	2927	ＨＰ增强剂	bag-道具
448	itb_a0202_98	浦蓝９号街区	824	2930	特防增强剂	bag-道具
449	itb_a0202_99	浦蓝９号街区	828	2863	彩色螺丝	colorful-screw
450	itb_a0202_100	１０号野生特区	847	2836	日之石	bag-道具
451	itb_a0202_101	１０号野生特区	831	2830	速度增强剂	bag-道具
452	itb_a0202_104	浦蓝９号街区	819	2856	彩色螺丝	colorful-screw
453	itb_a0202_105	浦蓝４号街区	1325	2507	招式学习器０７５	bag-招式学习器
454	itb_a0202_106	１０号野生特区	591	2771	潜水球	bag-精灵球
455	itb_a0202_107	１０号野生特区	779	2643	捕网球	bag-精灵球
456	itb_a0202_108	１０号野生特区	503	2705	先机球	bag-精灵球
457	itb_a0202_109	５号野生特区	1761	2565	经验糖果Ｍ	bag-道具
458	itb_a0202_110	５号野生特区	1810	2408	计时球	bag-精灵球
459	itb_a0202_111	５号野生特区	1882	2462	活力块	bag-回复
460	itb_a0203_01	１６号野生特区	1341	2762	高级球	bag-精灵球
461	itb_a0203_02	１６号野生特区	1553	2950	黑暗球	bag-精灵球
462	itb_a0203_03	１６号野生特区	1566	2678	招式学习器０７６	bag-招式学习器
463	itb_a0203_04	１６号野生特区	1504	2874	先机球	bag-精灵球
464	itb_a0203_05	１６号野生特区	1592	2842	豪华球	bag-精灵球
465	itb_a0203_06	１６号野生特区	1496	2735	大珍珠	bag-宝物
466	itb_a0203_07	１６号野生特区	1427	2802	治愈球	bag-精灵球
467	itb_a0203_08	１６号野生特区	1490	2821	神奇糖果	bag-道具
468	itb_a0501_01	琼黄７号街区	3280	946	高级球	bag-精灵球
469	itb_a0501_02	１９号野生特区	3309	1129	招式学习器０７９	bag-招式学习器
470	itb_a0501_03	琼黄７号街区	3119	679	万灵药	bag-回复
471	itb_a0501_04	琼黄５号街区	3109	1448	高级球	bag-精灵球
472	itb_a0501_05	琼黄５号街区	2957	1430	先机球	bag-精灵球
473	itb_a0501_06	琼黄５号街区	2990	1313	解眠药	bag-回复
474	itb_a0501_07	琼黄７号街区	2985	1214	万灵药	bag-回复
475	itb_a0501_08	琼黄４号街区	2909	1200	解麻药	bag-回复
476	itb_a0501_09	琼黄７号街区	3042	1230	灼伤药	bag-回复
477	itb_a0501_10	琼黄４号街区	2932	1342	活力碎片	bag-回复
478	itb_a0501_11	１５号野生特区	3252	734	招式学习器０５２	bag-招式学习器
479	itb_a0501_12	琼黄７号街区	3251	942	好伤药	bag-回复
480	itb_a0501_13	琼黄７号街区	3143	944	灼伤药	bag-回复
481	itb_a0501_14	琼黄７号街区	3166	626	经验糖果Ｍ	bag-道具
482	itb_a0501_15	琼黄７号街区	3203	916	厉害伤药	bag-回复
483	itb_a0501_16	１５号野生特区	3373	799	ＨＰ增强剂	bag-道具
484	itb_a0501_17	琼黄４号街区	2607	1435	超级球	bag-精灵球
485	itb_a0501_18	琼黄３号街区	2557	1709	超级球	bag-精灵球
486	itb_a0501_19	琼黄大道	2405	1781	好伤药	bag-回复
487	itb_a0501_20	琼黄７号街区	3152	778	速度增强剂	bag-道具
488	itb_a0501_21	琼黄７号街区	3126	1157	厉害伤药	bag-回复
489	itb_a0501_22	琼黄７号街区	3096	904	厉害伤药	bag-回复
490	itb_a0501_23	１９号野生特区	3190	1294	解毒药	bag-回复
491	itb_a0501_24	琼黄４号街区	2824	1420	解眠药	bag-回复
492	itb_a0501_25	琼黄４号街区	2704	1410	好伤药	bag-回复
493	itb_a0501_26	琼黄３号街区	2733	1561	超级球	bag-精灵球
494	itb_a0501_27	黄色广场	2774	1559	精灵球	bag-精灵球
495	itb_a0501_28	琼黄大道	3306	1417	好伤药	bag-回复
496	itb_a0501_29	琼黄大道	3165	1450	活力碎片	bag-回复
497	itb_a0501_30	琼黄５号街区	3026	1312	神奇糖果	bag-道具
498	itb_a0501_31	琼黄３号街区	2640	1674	重复球	bag-精灵球
499	itb_a0501_32	琼黄大道	2606	1799	特攻增强剂	bag-道具
500	itb_a0501_33	黄色广场	2751	1672	活力块	bag-回复
501	itb_a0501_34	琼黄５号街区	3058	1400	神奇糖果	bag-道具
502	itb_a0501_35	琼黄７号街区	3170	1081	万灵药	bag-回复
503	itb_a0501_36	北侧大道	3435	1008	神奇糖果	bag-道具
504	itb_a0501_37	琼黄４号街区	2903	1286	好伤药	bag-回复
505	itb_a0501_38	北侧大道	3604	1147	伤药	bag-回复
506	itb_a0501_39	北侧大道	3645	1033	厉害伤药	bag-回复
507	itb_a0501_40	１５号野生特区	3517	914	活力碎片	bag-回复
508	itb_a0501_41	琼黄大道	3698	1392	解毒药	bag-回复
509	itb_a0501_42	北侧大道	3581	1327	防御增强剂	bag-道具
510	itb_a0501_43	北侧大道	3735	1361	潜水球	bag-精灵球
511	itb_a0501_44	北侧大道	3638	1333	活力碎片	bag-回复
512	itb_a0501_45	北侧大道	3671	1246	特防增强剂	bag-道具
513	itb_a0501_46	琼黄大道	3441	1516	计时球	bag-精灵球
514	itb_a0501_47	琼黄大道	3541	1417	经验糖果Ｍ	bag-道具
515	itb_a0501_48	琼黄大道	3593	1387	特防增强剂	bag-道具
516	itb_a0501_49	琼黄大道	3495	1497	计时球	bag-精灵球
517	itb_a0501_50	琼黄大道	3237	1414	万灵药	bag-回复
518	itb_a0501_51	琼黄５号街区	3160	1338	厉害伤药	bag-回复
519	itb_a0501_52	琼黄大道	3327	1452	活力块	bag-回复
520	itb_a0501_53	黄色广场	3143	1485	火之石	bag-道具
521	itb_a0501_54	琼黄大道	3203	1582	攻击增强剂	bag-道具
522	itb_a0501_55	８号野生特区	3081	1569	厉害伤药	bag-回复
523	itb_a0501_56	琼黄５号街区	2990	1457	精灵球	bag-精灵球
524	itb_a0501_57	琼黄８号街区	3560	1165	灼伤药	bag-回复
525	itb_a0501_58	琼黄大道	3371	1527	活力碎片	bag-回复
526	itb_a0501_59	琼黄大道	3229	1586	灼伤药	bag-回复
527	itb_a0501_60	琼黄４号街区	2801	1118	高级球	bag-精灵球
528	itb_a0501_61	琼黄４号街区	2830	1261	万灵药	bag-回复
529	itb_a0501_62	琼黄４号街区	2682	1388	高级球	bag-精灵球
530	itb_a0501_63	琼黄４号街区	2622	1426	特防增强剂	bag-道具
531	itb_a0501_64	琼黄４号街区	2708	1405	高级球	bag-精灵球
532	itb_a0501_65	琼黄４号街区	2698	1262	厉害伤药	bag-回复
533	itb_a0501_66	琼黄７号街区	3089	732	高级球	bag-精灵球
534	itb_a0501_67	琼黄７号街区	3009	873	重复球	bag-精灵球
535	itb_a0501_68	琼黄７号街区	2991	968	豪华球	bag-精灵球
536	itb_a0501_69	琼黄７号街区	2962	888	精灵球	bag-精灵球
537	itb_a0501_70	琼黄１号街区	2423	1659	厉害伤药	bag-回复
538	itb_a0501_71	琼黄大道	2701	1777	好伤药	bag-回复
539	itb_a0501_72	１９号野生特区	3357	1160	高级球	bag-精灵球
540	itb_a0501_73	１９号野生特区	3441	1203	金珠	bag-宝物
541	itb_a0501_74	１９号野生特区	3445	1403	厉害伤药	bag-回复
542	itb_a0501_75	１９号野生特区	3283	1276	活力块	bag-回复
543	itb_a0501_76	１９号野生特区	3220	1207	万灵药	bag-回复
544	itb_a0501_77	北侧大道	3685	1233	彩色螺丝	colorful-screw
545	itb_a0501_78	北侧大道	3683	1237	神奇糖果	bag-道具
546	itb_a0501_79	北侧大道	3704	1284	特攻增强剂	bag-道具
547	itb_a0501_80	北侧大道	3725	1320	叶之石	bag-道具
548	itb_a0501_81	琼黄４号街区	2694	1238	彩色螺丝	colorful-screw
549	itb_a0501_82	琼黄４号街区	2643	1289	攻击增强剂	bag-道具
550	itb_a0501_83	琼黄４号街区	2645	1290	特防增强剂	bag-道具
551	itb_a0501_84	琼黄３号街区	2558	1641	彩色螺丝	colorful-screw
552	itb_a0501_85	琼黄３号街区	2590	1597	特防增强剂	bag-道具
553	itb_a0501_86	琼黄３号街区	2606	1612	防御增强剂	bag-道具
554	itb_a0501_87	北侧大道	3589	1144	彩色螺丝	colorful-screw
555	itb_a0501_88	北侧大道	3607	1083	ＨＰ增强剂	bag-道具
556	itb_a0501_89	１５号野生特区	3225	877	水之石	bag-道具
557	itb_a0501_90	北侧大道	3582	1165	大珍珠	bag-宝物
558	itb_a0501_91	琼黄７号街区	3004	1156	彩色螺丝	colorful-screw
559	itb_a0501_92	琼黄７号街区	3001	1161	金珠	bag-宝物
560	itb_a0501_93	琼黄７号街区	2991	1123	攻击增强剂	bag-道具
561	itb_a0501_94	琼黄７号街区	2954	1074	速度增强剂	bag-道具
562	itb_a0501_96	琼黄７号街区	2987	1046	神奇糖果	bag-道具
563	itb_a0501_97	琼黄７号街区	3046	1069	光之石	bag-道具
564	itb_a0501_98	琼黄７号街区	3074	1129	速度增强剂	bag-道具
565	itb_a0501_99	１９号野生特区	3197	1323	彩色螺丝	colorful-screw
566	itb_a0501_100	琼黄３号街区	2684	1643	彩色螺丝	colorful-screw
567	itb_a0501_101	琼黄３号街区	2562	1443	万灵药	bag-回复
568	itb_a0501_102	琼黄４号街区	2878	1464	彩色螺丝	colorful-screw
569	itb_a0501_103	琼黄３号街区	2485	1535	彩色螺丝	colorful-screw
570	itb_a0501_104	１５号野生特区	3433	912	彩色螺丝	colorful-screw
571	itb_a0501_105	琼黄７号街区	3014	1069	招式学习器０４４	bag-招式学习器
572	itb_a0501_106	琼黄５号街区	2946	1473	招式学习器０３５	bag-招式学习器
573	itb_a0501_107	１５号野生特区	3323	767	万灵药	bag-回复
574	itb_a0501_108	１５号野生特区	3362	698	金珠	bag-宝物
575	itb_a0501_109	１５号野生特区	3290	739	厉害伤药	bag-回复
576	itb_a0501_110	１５号野生特区	3250	648	高级球	bag-精灵球
577	itb_a0501_111	１５号野生特区	3433	764	全复药	bag-回复
578	itb_a0501_112	１５号野生特区	3246	781	计时球	bag-精灵球
579	itb_a0501_113	１５号野生特区	3476	864	黑暗球	bag-精灵球
580	itb_a0501_114	１９号野生特区	3459	1316	先机球	bag-精灵球
581	itb_a0501_115	１９号野生特区	3261	1338	豪华球	bag-精灵球
582	itb_a0501_116	１９号野生特区	3374	1437	神奇糖果	bag-道具
583	itb_a0501_117	１９号野生特区	3415	1281	重复球	bag-精灵球
584	itb_a0501_118	黄色广场	3107	1520	大珍珠	bag-宝物
585	itb_a0501_119	黄色广场	3158	1549	神奇糖果	bag-道具
586	itb_a0501_120	琼黄７号街区	3183	1034	金珠	bag-宝物
587	itb_a0502_01	北侧大道	3776	1849	经验糖果Ｓ	bag-道具
588	itb_a0502_02	琼黄１２号街区	3548	2152	经验糖果Ｍ	bag-道具
589	itb_a0502_03	琼黄６号街区	3176	2170	解眠药	bag-回复
590	itb_a0502_04	琼黄９号街区	3378	1688	活力碎片	bag-回复
591	itb_a0502_05	琼黄６号街区	3290	2072	日之石	bag-道具
592	itb_a0502_06	琼黄１１号街区	3722	1692	解麻药	bag-回复
593	itb_a0502_07	１１号野生特区	3304	2606	高级球	bag-精灵球
594	itb_a0502_08	６号野生特区	3656	2412	好伤药	bag-回复
595	itb_a0502_09	６号野生特区	3977	2135	解毒药	bag-回复
596	itb_a0502_10	琼黄１２号街区	3770	2022	活力碎片	bag-回复
597	itb_a0502_11	６号野生特区	3647	2416	招式学习器０４１	bag-招式学习器
598	itb_a0502_12	６号野生特区	3855	2212	超级球	bag-精灵球
599	itb_a0502_13	琼黄大道	2465	1951	活力碎片	bag-回复
600	itb_a0502_14	琼黄大道	2674	1915	潜水球	bag-精灵球
601	itb_a0502_15	四季运河沿岸	2506	2031	经验糖果Ｓ	bag-道具
602	itb_a0502_16	四季运河沿岸	2638	2081	暗之石	bag-道具
603	itb_a0502_17	四季运河沿岸	2721	2109	活力块	bag-回复
604	itb_a0502_18	琼黄２号街区	2581	1992	超级球	bag-精灵球
605	itb_a0502_19	四季运河沿岸	2671	2129	解眠药	bag-回复
606	itb_a0502_20	四季运河沿岸	2541	2052	治愈球	bag-精灵球
607	itb_a0502_21	翡绿１号街区	2793	2248	解麻药	bag-回复
608	itb_a0502_22	琼黄大道	2758	1956	伤药	bag-回复
609	itb_a0502_23	黄色广场	2860	1934	灼伤药	bag-回复
610	itb_a0502_24	６号野生特区	3740	2132	ＨＰ增强剂	bag-道具
611	itb_a0502_25	琼黄６号街区	3007	2156	厉害伤药	bag-回复
612	itb_a0502_26	琼黄６号街区	2909	2038	全复药	bag-回复
613	itb_a0502_27	黄色广场	2791	1878	攻击增强剂	bag-道具
614	itb_a0502_28	四季运河沿岸	2861	2241	好伤药	bag-回复
615	itb_a0502_29	琼黄６号街区	2870	2174	好伤药	bag-回复
616	itb_a0502_30	四季运河沿岸	3079	2310	好伤药	bag-回复
617	itb_a0502_31	翡绿３号街区	3147	2326	水之石	bag-道具
618	itb_a0502_32	琼黄６号街区	3001	2078	伤药	bag-回复
619	itb_a0502_33	黄色广场	3022	1942	特防增强剂	bag-道具
620	itb_a0502_34	琼黄６号街区	3077	2145	经验糖果Ｓ	bag-道具
621	itb_a0502_36	四季运河沿岸	2901	2257	超级球	bag-精灵球
622	itb_a0502_37	６号野生特区	3812	2475	黑暗球	bag-精灵球
623	itb_a0502_38	６号野生特区	3655	2272	好伤药	bag-回复
624	itb_a0502_39	琼黄６号街区	3138	2124	解麻药	bag-回复
625	itb_a0502_40	琼黄６号街区	3223	2201	速度增强剂	bag-道具
626	itb_a0502_41	琼黄６号街区	3173	2012	捕网球	bag-精灵球
627	itb_a0502_42	琼黄６号街区	3079	1989	解毒药	bag-回复
628	itb_a0502_43	黄色广场	3138	1925	觉醒之石	bag-道具
629	itb_a0502_44	四季运河沿岸	2810	2137	全满药	bag-回复
630	itb_a0502_45	琼黄９号街区	3173	1748	计时球	bag-精灵球
631	itb_a0502_46	琼黄６号街区	3234	1895	活力碎片	bag-回复
632	itb_a0502_47	北侧大道	3782	1846	好伤药	bag-回复
633	itb_a0502_48	北侧大道	3815	1670	活力碎片	bag-回复
634	itb_a0502_49	琼黄大道	3780	1550	超级球	bag-精灵球
635	itb_a0502_50	琼黄１１号街区	3777	1646	豪华球	bag-精灵球
636	itb_a0502_51	琼黄１１号街区	3744	1776	先机球	bag-精灵球
637	itb_a0502_52	琼黄大道	3525	1618	超级球	bag-精灵球
638	itb_a0502_53	琼黄１１号街区	3660	1776	伤药	bag-回复
639	itb_a0502_54	琼黄１１号街区	3737	1920	超级球	bag-精灵球
640	itb_a0502_55	琼黄１１号街区	3699	1920	万灵药	bag-回复
641	itb_a0502_56	琼黄９号街区	3576	1726	捕网球	bag-精灵球
642	itb_a0502_57	琼黄大道	3545	1655	巢穴球	bag-精灵球
643	itb_a0502_58	琼黄１１号街区	3691	1636	高级球	bag-精灵球
644	itb_a0502_59	琼黄大道	3387	1640	厉害伤药	bag-回复
645	itb_a0502_60	琼黄９号街区	3374	1715	高级球	bag-精灵球
646	itb_a0502_61	琼黄９号街区	3536	1729	高级球	bag-精灵球
647	itb_a0502_62	琼黄９号街区	3636	1758	叶之石	bag-道具
648	itb_a0502_63	琼黄９号街区	3433	1903	冰之石	bag-道具
649	itb_a0502_64	琼黄１２号街区	3509	2097	防御增强剂	bag-道具
650	itb_a0502_65	琼黄１２号街区	3657	2093	好伤药	bag-回复
651	itb_a0502_66	琼黄９号街区	3349	2138	巢穴球	bag-精灵球
652	itb_a0502_67	琼黄１２号街区	3557	2221	神奇糖果	bag-道具
653	itb_a0502_68	北侧大道	3826	1724	高级球	bag-精灵球
654	itb_a0502_69	琼黄６号街区	3318	1947	超级球	bag-精灵球
655	itb_a0502_70	琼黄１１号街区	3683	1967	黑暗球	bag-精灵球
656	itb_a0502_71	琼黄９号街区	3349	2083	好伤药	bag-回复
657	itb_a0502_72	琼黄９号街区	3394	2150	活力碎片	bag-回复
658	itb_a0502_73	琼黄９号街区	3601	1837	活力碎片	bag-回复
659	itb_a0502_74	琼黄大道	3502	1592	好伤药	bag-回复
660	itb_a0502_75	琼黄９号街区	3410	1923	好伤药	bag-回复
661	itb_a0502_76	琼黄９号街区	3460	1761	解麻药	bag-回复
662	itb_a0502_77	琼黄大道	3465	1611	特攻增强剂	bag-道具
663	itb_a0502_78	琼黄１２号街区	3514	2084	解毒药	bag-回复
664	itb_a0502_80	１１号野生特区	3440	2323	招式学习器０６３	bag-招式学习器
665	itb_a0502_81	６号野生特区	3810	2390	珍珠	bag-宝物
666	itb_a0502_82	６号野生特区	3972	1964	超级球	bag-精灵球
667	itb_a0502_83	６号野生特区	3803	1926	豪华球	bag-精灵球
668	itb_a0502_84	６号野生特区	3710	2293	珍珠	bag-宝物
669	itb_a0502_85	６号野生特区	3878	2290	好伤药	bag-回复
670	itb_a0502_86	６号野生特区	3933	1995	金珠	bag-宝物
671	itb_a0502_87	琼黄６号街区	3081	2029	彩色螺丝	colorful-screw
672	itb_a0502_88	琼黄６号街区	3076	2031	神奇糖果	bag-道具
673	itb_a0502_89	琼黄９号街区	3476	1878	彩色螺丝	colorful-screw
674	itb_a0502_90	琼黄９号街区	3498	1815	月之石	bag-道具
675	itb_a0502_91	琼黄９号街区	3485	1831	特攻增强剂	bag-道具
676	itb_a0502_92	琼黄９号街区	3491	1872	防御增强剂	bag-道具
677	itb_a0502_93	琼黄９号街区	3475	1834	ＨＰ增强剂	bag-道具
678	itb_a0502_94	北侧大道	3801	1508	金珠	bag-宝物
679	itb_a0502_95	琼黄９号街区	3440	2023	彩色螺丝	colorful-screw
680	itb_a0502_96	琼黄大道	2630	1944	彩色螺丝	colorful-screw
681	itb_a0502_97	琼黄１２号街区	3760	1829	彩色螺丝	colorful-screw
682	itb_a0502_98	１１号野生特区	3231	2291	彩色螺丝	colorful-screw
683	itb_a0502_99	四季运河沿岸	2852	2137	招式学习器０８６	bag-招式学习器
684	itb_a0502_100	１１号野生特区	3428	2616	捕网球	bag-精灵球
685	itb_a0502_101	１１号野生特区	3591	2556	重复球	bag-精灵球
686	itb_a0502_102	１１号野生特区	3290	2335	全满药	bag-回复
687	itb_a0502_103	１１号野生特区	3505	2436	经验糖果Ｍ	bag-道具
688	itb_a0502_104	１１号野生特区	3295	2290	大珍珠	bag-宝物
689	itb_a0502_105	１１号野生特区	3524	2345	潜水球	bag-精灵球
690	itb_a0502_106	琼黄１２号街区	3637	2218	大珍珠	bag-宝物
691	itb_a0502_107	６号野生特区	3666	2142	治愈球	bag-精灵球
692	itb_a0502_108	琼黄９号街区	3494	2205	灼伤药	bag-回复
693	itb_a0502_109	琼黄９号街区	3360	1857	彩色螺丝	colorful-screw
694	itb_a0502_110	琼黄２号街区	2769	1978	彩色螺丝	colorful-screw
695	itb_a0502_111	琼黄１１号街区	3715	1730	彩色螺丝	colorful-screw
696	itb_a0502_112	琼黄６号街区	3294	1884	全复药	bag-回复
697	itb_a0502_113	琼黄１１号街区	3710	1868	大珍珠	bag-宝物
698	itb_a0503_01	８号野生特区	2938	1725	招式学习器０３６	bag-招式学习器
699	itb_a0503_02	８号野生特区	2875	1753	治愈球	bag-精灵球
700	itb_a0503_03	８号野生特区	3021	1772	厉害伤药	bag-回复
701	itb_a0503_04	８号野生特区	3033	1709	超级球	bag-精灵球
702	itb_a0503_05	８号野生特区	2908	1593	超级球	bag-精灵球
703	itb_a0503_06	８号野生特区	2931	1882	活力碎片	bag-回复
704	itb_a0301_01	蓉粉６号街区	521	2001	超级球	bag-精灵球
705	itb_a0301_02	南侧大道	186	1535	好伤药	bag-回复
706	itb_a0301_03	南侧大道	251	2041	巢穴球	bag-精灵球
707	itb_a0301_04	１４号野生特区	493	1584	超级球	bag-精灵球
708	itb_a0301_05	９号野生特区	482	2205	治愈球	bag-精灵球
709	itb_a0301_06	９号野生特区	312	2256	万灵药	bag-回复
710	itb_a0301_07	９号野生特区	484	2392	活力碎片	bag-回复
711	itb_a0301_08	９号野生特区	306	2153	巢穴球	bag-精灵球
712	itb_a0301_09	９号野生特区	608	2262	解麻药	bag-回复
713	itb_a0301_10	９号野生特区	438	2245	大珍珠	bag-宝物
714	itb_a0301_11	９号野生特区	580	2451	攻击增强剂	bag-道具
715	itb_a0301_12	９号野生特区	605	2274	彩色螺丝	colorful-screw
716	itb_a0301_13	１４号野生特区	289	1569	金珠	bag-宝物
717	itb_a0301_14	１４号野生特区	258	1705	豪华球	bag-精灵球
718	itb_a0301_15	１４号野生特区	286	1806	活力块	bag-回复
719	itb_a0301_16	１４号野生特区	273	1871	高级球	bag-精灵球
720	itb_a0301_17	１４号野生特区	458	1797	精通种子	bag-道具
721	itb_a0301_18	１４号野生特区	567	1660	特攻增强剂	bag-道具
722	itb_a0301_19	１４号野生特区	340	1963	招式学习器０３９	bag-招式学习器
723	itb_a0301_20	蓉粉大道	642	1765	解眠药	bag-回复
724	itb_a0301_21	蓉粉６号街区	651	1862	灼伤药	bag-回复
725	itb_a0301_22	１４号野生特区	394	1851	万灵药	bag-回复
726	itb_a0301_23	蓉粉６号街区	651	1788	捕网球	bag-精灵球
727	itb_a0301_24	蓉粉大道	665	1717	神奇糖果	bag-道具
728	itb_a0301_25	１４号野生特区	540	1813	全满药	bag-回复
729	itb_a0301_26	１４号野生特区	505	1934	先机球	bag-精灵球
730	itb_a0301_27	１４号野生特区	549	1860	经验糖果Ｓ	bag-道具
731	itb_a0301_28	蓉粉６号街区	516	2034	厉害伤药	bag-回复
732	itb_a0301_29	蓉粉３号街区	751	2141	高级球	bag-精灵球
733	itb_a0301_30	蓉粉３号街区	790	1978	日之石	bag-道具
734	itb_a0301_31	蓉粉６号街区	667	2060	伤药	bag-回复
735	itb_a0301_32	１４号野生特区	547	1941	解麻药	bag-回复
736	itb_a0301_33	蓉粉６号街区	472	2104	厉害伤药	bag-回复
737	itb_a0301_34	９号野生特区	532	2156	攻击增强剂	bag-道具
738	itb_a0301_35	蓉粉６号街区	357	2032	精灵球	bag-精灵球
739	itb_a0301_36	蓉粉３号街区	776	2087	解毒药	bag-回复
