编号	X	Z	Y	头目	重生时间	最小半径	最大半径	宝可梦列表
488	1230	76	707		300	2	2	559-0+20+23+++++夜|559-0+20+23++++66.67+夜|560-0+40+42++++33.33+夜
491	1934	-2	251		300	1	1	246-0+20+23+20+30+33
492	1985	6	1398		300	1	1	333-0+15+18++++10++晴|016-0+5+8++++90++晴
493	2224	36	1605		300	1	1	013-0+6+8|014-0+8+10
494	2158	36	1545		300	1	1	013-0+6+8|014-0+8+10
495	2345	36	1434		300	1	1	013-0+6+8
496	2164	46	902		300	1	1	016-0+6+8
497	2213	46	1737		300	1	1	016-0+6+8
498	2856	-26	441		300	1	1	069-0+10+12
499	2825	-26	467		300	1	1	069-0+10+12
500	2667	-26	553		300	1	1	406-0+11+13
501	2301	76	1697		300	1	1	406-0+11+13
502	2440	76	1507		300	1	1	406-0+11+13
503	2387	41	1382		300	1	2	504-0+12+14
504	2315	58	1323		300	1	2	504-0+12+14
505	2170	76	808		300	1	1	568-0+12+14
506	2312	3	976		300	3	3	661-0+6+8
507	2352	53	745		300	1	1	661-0+6+8
508	2625	54	744		300	1	1	661-0+6+8
509	2764	47	342		300	1	1	661-0+6+8
510	2493	53	385		300	1	1	661-0+6+8
511	2074	58	153		300	1	1	661-0+6+8
512	2303	47	216		300	1	1	661-0+6+8
513	2426	70	737		300	1	1	661-0+6+8
514	2393	13	952		300	1	1	669-3+10+12
515	2113	16	316		300	1	1	669-0+10+12
516	2518	72	186		300	1	1	669-0+10+12
517	2498	-23	298		300	2	2	669-0+10+12
518	2456	74	174		300	1	1	669-0+10+12
519	2404	16	318		300	1	1	702-0+16+18+20+26+28+50|659-0+12+14++++50
520	2484	-8	807		300	1	2	702-0+16+18+20+26+28+10|504-0+12+14++++90
521	1962	-21	639		300	1	1	173-0+11+13
524	2191	36	1575		300	1	1	015-0+11+13
525	2227	0	1671		300	1	1	017-0+19+21
526	2193	-3	1348		300	1	1	017-0+19+21
527	2942	76	596		300	3	3	023-0+12+14++++45.95|024-0+22+24++++8.11
528	2420	13	368		300	1	2	664-6+6+8
529	2420	16	271		300	1	2	664-6+6+8
530	2420	17	318		300	1	2	666-6+13+15
531	2191	31	1602		300	1	1	659-0+12+14
532	2316	6	264		300	1	1	662-0+18+20
533	2219	6	360		300	1	1	662-0+18+20
534	2786	3	884		300	1	1	677-0+13+15
535	2250	11	767		300	1	1	677-0+13+15
536	2500	-24	299		300	1	1	670-0+20+22
537	2231	-2	247		300	1	1	063-0+18+20
538	2415	-32	816		300	1	1	063-0+18+20
539	2962	76	554		300	1	1	092-0+15+17+++++夜
540	2990	-23	635		300	1	1	093-0+26+28+++++夜
541	2448	9	1043		300	1	1	359-0+17+19+20+27+29
542	2681	25	354		300	1	1	133-0+15+17+++++日+晴
543	2671	76	889		300	1	1	511-0+14+16++++33.33|513-0+14+16++++33.33|515-0+14+16++++33.33
544	3050	76	664		300	1	1	511-0+14+16++++33.33|513-0+14+16++++33.33|515-0+14+16++++33.33
545	2943	76	809		300	1	1	511-0+14+16++++33.33|513-0+14+16++++33.33|515-0+14+16++++33.33
546	2123	8	1472		300	1	1	682-0+17+19
547	2342	76	885		300	1	1	684-0+17+19++++50|682-0+17+19++++50
548	2388	15	1439		300	1	1	684-0+17+19
549	2283	5	866		300	1	1	684-0+17+19
550	2758	-17	678		300	1	1	147-0+28+29+20+38+39+95|148-0+31+32+20+41+42+5
551	2894	-14	691		300	1	1	704-0+35+39+20+45+49+95++阴|705-0+41+42+20+51+52+5++阴
552	2928	-23	468		300	1	1	333-0+16+18++++10++晴|661-0+6+8++++90++晴
553	2884	-23	567		300	1	1	333-0+16+18++++10++晴|661-0+6+8++++90++晴
554	2877	-23	587		300	1	1	333-0+16+18++++10++晴|661-0+6+8++++90++晴
555	2481	75	2409		300	1	1	013-0+5+8
556	3272	52	2798		300	1	1	013-0+5+8
557	3411	69	2656		300	1	1	013-0+5+8
558	3406	-6	3254		300	1	1	016-0+5+8
559	3204	3	3414		300	1	1	016-0+5+8
560	3244	7	3346		300	1	1	016-0+3+6
561	3347	52	2724		300	1	1	016-0+5+8+++++日
562	3659	88	2598		300	2	3	016-0+5+8
563	3170	9	2993		300	1	1	016-0+5+8
564	3197	9	2975		300	1	1	016-0+5+8
565	3214	7	3370		300	1	1	016-0+3+6
566	2620	75	2384		300	1	1	069-0+9+12+++++日
567	3028	4	3248		300	1	1	069-0+9+12
568	2992	4	3270		300	1	1	069-0+9+12
569	2502	17	2446		300	1	1	069-0+9+12
570	2530	17	2468		300	1	1	069-0+9+12
571	3116	98	2805		300	1	2	129-0+10+13
572	2979	99	3056		300	1	2	129-0+10+13
573	3693	71	2678		300	1	1	167-0+10+13
574	3544	52	2776		300	1	1	167-0+10+13
575	3605	71	2654		300	1	1	167-0+10+13
576	3590	55	2926		300	1	1	167-0+10+13
577	2853	-4	3003		300	1	1	406-0+10+13
578	2949	-15	2763		300	1	1	406-0+10+13
579	2936	-15	2727		300	1	1	406-0+10+13
580	2547	-2	2295		300	1	1	406-0+10+13
581	2553	-2	2311		300	1	1	406-0+10+13
582	2351	11	2277		300	1	1	504-0+11+14
583	2459	11	2279		300	1	1	504-0+11+14
584	2378	20	2323		300	1	1	504-0+11+14
585	2380	11	2237		300	1	1	504-0+11+14
586	2417	11	2335		300	1	1	504-0+11+14
587	2932	55	2787		300	2	2	504-0+11+14
588	2937	55	2775	1	300	1	1	504-0+21+24+100+21+24
589	3523	76	3044		300	1	1	568-0+11+14
590	3541	76	3026		300	1	1	568-0+11+14
591	3677	46	2901		300	1	1	661-0+5+8
592	3721	23	2750		300	1	1	661-0+5+8
593	3697	23	2793		300	1	1	661-0+5+8
594	3100	64	2429		300	1	1	661-0+5+8
595	2915	54	2383		300	1	1	661-0+5+8
596	2539	71	2257		300	1	1	661-0+5+8
597	3500	3	2873		300	1	1	661-0+5+8
598	3581	53	3318		300	1	1	661-0+5+8
599	2763	6	2347		300	1	1	661-0+5+8
600	2767	6	2365		300	1	1	661-0+5+8
601	2804	-4	2946		300	1	1	661-0+5+8
602	3283	30	2647		300	1	1	661-0+5+8
603	3155	35	3490		300	2	2	661-0+5+8
604	2921	-23	2669		300	1	1	661-0+5+8
605	2910	-61	2705		300	1	1	661-0+5+8
606	3331	7	3319		300	1	1	669-0+3+6
607	3315	7	3187		300	1	1	669-0+9+12
608	3033	56	2670		300	1	1	669-4+9+12
609	3053	56	2464		300	1	1	669-4+9+12
610	3245	11	2890		300	1	1	669-3+9+12
611	2901	-58	2733		300	1	1	702-0+15+18+20+25+28+50|661-0+5+8++++50
612	2905	-31	2524		300	1	1	173-0+10+13
613	2493	75	2414		300	1	1	014-0+7+10
614	3218	55	2890		300	1	1	664-6+5+8
615	3518	11	2891		300	1	1	664-6+5+8
616	3485	13	3097		300	1	1	659-0+11+14
617	3504	13	3077		300	1	1	659-0+11+14
618	2959	-22	2655		300	1	1	663-0+35+38
619	2982	56	2672		300	1	1	670-4+19+22
620	3096	56	2480		300	1	1	670-4+19+22
621	3053	76	3187		300	1	1	092-0+14+17+++++夜
622	3079	76	3164		300	1	1	092-0+14+17+++++夜
623	2653	76	2383		300	1	1	092-0+14+17+++++夜
624	2623	76	2420		300	1	1	092-0+14+17+++++夜
625	3729	14	2704		300	1	1	147-0+28+29+20+38+39+95|148-0+30+32+20+40+42+5
626	3408	51	2798		300	1	1	704-0+35+39+20+45+49+95++阴|705-0+40+42+20+50+52+5++阴
627	3449	70	2667		300	1	1	704-0+35+39+20+45+49+95++阴|705-0+40+42+20+50+52+5++阴
628	2551	75	2378		300	1	1	704-0+35+39+20+45+49+95++阴|705-0+40+42+20+50+52+5++阴
629	2720	-2	2352		300	1	1	701-0+21+24+20+31+34+50|016-0+5+8++++50
630	3024	6	3144		300	1	1	701-0+21+24+20+31+34+10|661-0+5+8++++90
631	3146	17	3459		300	1	1	587-0+17+20
632	2802	18	2572		300	1	1	333-0+15+17++++10++晴|016-0+5+8++++90++晴
633	2144	58	2472		300	1	1	013-0+5+7
634	2903	76	3549		300	1	1	013-0+5+7
635	2777	75	3236		300	1	1	016-0+5+7
636	2210	9	3164		300	1	1	016-0+5+7
637	2062	46	3858		300	1	1	016-0+3+5
638	2308	28	3259		300	1	1	016-0+5+7
639	2308	28	3218		300	1	1	016-0+5+7
640	2017	47	3826		300	1	1	016-0+5+7
641	2376	60	3194		300	1	1	016-0+5+7
642	2834	22	3681		300	1	1	016-0+3+5
643	3075	16	3540		300	1	1	016-0+5+7
644	2414	12	3671		300	1	1	069-0+9+11
645	2112	13	2428		300	1	1	069-0+9+11
646	2091	13	2418		300	1	1	069-0+9+11
647	2243	75	2861		300	1	1	129-0+10+12
648	2178	75	2881		300	1	1	129-0+10+12
649	2284	95	3450		300	1	1	129-0+10+12
650	2324	93	3604		300	1	1	167-0+10+12
651	2434	13	3515		300	1	1	167-0+10+12
652	2208	4	3687		300	1	1	406-0+10+12
653	2224	4	3685		300	1	1	406-0+10+12
654	2121	19	3004		300	1	1	406-0+10+12
655	2136	19	2975		300	1	1	406-0+10+12
656	2099	19	2984		300	1	1	406-0+10+12
657	2362	72	3622		300	1	1	504-0+11+13
658	2253	75	3193		300	1	1	504-0+11+13
659	2232	75	3179		300	1	1	504-0+11+13
660	2357	76	3618		300	1	1	504-0+11+13
661	2231	75	3639		300	1	1	568-0+11+13
662	2402	75	3560		300	1	1	568-0+11+13
663	2424	73	3236		300	1	1	568-0+11+13
664	2465	76	3214		300	1	1	568-0+11+13
665	2575	64	3144	1	300	1	1	568-0+21+23+100+21+23
666	2099	11	2735		300	1	1	661-0+5+7
667	2114	11	2743		300	1	1	661-0+5+7
668	2076	46	3286		300	1	1	661-0+5+7
669	2668	54	3271		300	1	1	661-0+5+7
670	2178	26	3523		300	1	1	661-0+5+7
671	2182	26	3527		300	1	1	661-0+5+7
672	2072	47	2848		300	1	1	661-0+5+7
673	2553	13	3296		300	1	1	661-0+5+7
674	2573	13	3264		300	1	1	661-0+5+7
675	2409	12	3609		300	1	1	661-0+5+7
676	2331	76	2435		300	2	3	661-0+5+7
677	2416	44	2975		300	1	1	661-0+5+7
678	2348	3	2918		300	1	1	661-0+5+7
679	2332	3	2895		300	1	1	661-0+5+7
680	2438	19	3398		300	1	1	661-0+5+7
681	2291	76	2382		300	2	3	661-0+5+7
682	2989	5	3442		300	2	2	661-0+5+7
683	2586	11	3590		300	1	1	669-0+4+6
684	2100	19	3047		300	1	1	669-0+9+11
685	2121	19	3053		300	1	1	669-0+9+11
686	2386	76	2524		300	1	1	669-1+9+11
687	2333	76	2435		300	1	1	669-1+9+11
688	2350	76	2466		300	1	1	669-0+9+11
689	2835	28	3230		300	1	1	669-0+9+11
690	2851	28	3217		300	1	1	669-0+9+11
691	2557	73	3553		300	1	1	014-0+7+7
692	2149	75	3629		300	1	1	014-0+7+9
693	2146	75	3626		300	1	1	014-0+7+9
694	2146	75	3623		300	1	1	014-0+7+9
695	2152	75	3626		300	1	1	014-0+7+9
696	2151	75	3623		300	1	1	014-0+7+9
697	2307	4	3326		300	1	1	015-0+10+12
698	2285	15	2563		300	1	1	017-0+18+20
699	2140	11	3354		300	1	1	664-6+5+7
700	2106	11	3390		300	1	1	664-6+5+7
701	2825	76	3283		300	1	1	664-6+5+7
702	2142	11	3362		300	1	1	665-6+9+11
703	2496	76	3525		300	1	1	659-0+3+5
704	2505	76	3584		300	1	1	659-0+3+5
705	2207	76	3053		300	1	1	659-0+11+13
706	2229	76	3068		300	1	1	659-0+11+13
707	2230	76	3040		300	1	1	659-0+11+13
708	2252	76	3055		300	1	1	659-0+11+13
709	2105	2	2674		300	1	1	662-0+17+19
710	2241	-4	2932		300	1	1	662-0+17+19
711	2196	-4	2953		300	1	1	663-0+35+37
712	2788	7	3319		300	1	1	677-0+12+14
713	2756	15	3310		300	1	1	677-0+12+14
714	2856	-33	3396		300	1	1	670-3+19+21
715	2873	-33	3421		300	1	1	670-3+19+21
716	2428	76	3283		300	4	4	670-0+19+21++++60|670-1+19+21++++10|670-2+19+21++++10|670-3+19+21++++10|670-4+19+21++++10
717	2662	2	3750		300	1	1	063-0+5+7
718	2425	23	3147		300	1	1	353-0+18+20+++++夜
719	2484	5	3016		300	1	1	353-0+18+20+++++夜
720	2607	22	3061		300	1	1	092-0+14+16+++++夜
721	2561	21	3254		300	1	1	092-0+14+16+++++夜
722	2213	76	2989		300	1	1	280-0+10+12+20+20+22
723	2296	93	3547		300	1	1	133-0+14+16+++++日+晴
724	2315	12	3679		300	1	1	303-0+18+20++++50+夜|092-0+14+16++++50+夜
725	2813	8	3434		300	1	1	447-0+15+17+20+25+27++日+晴
726	2691	96	3204		300	1	1	704-0+35+39+20+45+49+95++阴|705-0+40+41+20+50+51+5++阴
727	2591	11	3604		300	1	1	704-0+35+39+20+45+49+95++阴|705-0+40+41+20+50+51+5++阴
728	2229	91	3448		300	1	1	704-0+35+39+20+45+49+95++阴|705-0+40+41+20+50+51+5++阴
729	2122	11	3364		300	1	1	704-0+35+39+20+45+49+95++阴|705-0+40+41+20+50+51+5++阴
730	2206	76	2840		300	1	1	704-0+35+39+20+45+49+95++阴|705-0+40+41+20+50+51+5++阴
731	2113	12	3605		300	1	1	701-0+21+23+20+31+33+10|016-0+5+7++++90
732	2881	21	3283		300	1	1	587-0+17+19
733	2204	19	2796		300	1	1	246-0+20+22+20+30+32
734	2345	4	3464		300	1	1	333-0+15+17++++10++晴|661-0+5+7++++90++晴
735	2101	75	3564		300	2	3	427-0+15+17++++33.33|427-0+15+17++++66.67
736	2807	76	3579		300	1	1	016-0+14+16++++5.56+日|025-0+15+17++++1.39+日|133-0+15+17++++1.39+日|427-0+16+18++++5.56+日|504-0+15+17++++2.78+日|511-0+16+18++++2.78+日|513-0+16+18++++2.78+日|515-0+16+18++++2.78+日|587-0+17+19++++5.56+日|659-0+15+17++++5.56+日|661-0+14+16++++5.56+日|677-0+15+17++++5.56+日|702-0+17+19++++2.78+日|016-0+14+16++++11.11+夜|025-0+15+17++++2.78+夜|133-0+15+17++++2.78+夜|427-0+16+18++++11.11+夜|504-0+15+17++++5.56+夜|511-0+16+18++++5.56+夜|513-0+16+18++++5.56+夜|515-0+16+18++++5.56+夜|587-0+17+19++++11.11+夜|659-0+15+17++++11.11+夜|661-0+14+16++++11.11+夜|677-0+15+17++++11.11+夜|702-0+17+19++++5.56+夜
741	3074	76	3332		150	1	1	660-0+44+46+5+54+56+90|650-0+20+25+5+30+35+10
742	3128	76	3355		150	1	1	660-0+44+46+5+54+56+90|650-0+20+25+5+30+35+10
743	3121	76	3316		180	1	1	660-0+44+46+5+54+56+90|650-0+20+25+5+30+35+10
744	3208	56	3121		300	5	5	668-0+56+57+100+56+57++日|668-0+56+57+100+56+57++夜|668-0+44+47+5+54+57++日|668-0+44+47+5+54+57++夜
748	3147	0	3186	1	300	1	1	303-0+56+57+100+56+57
749	3214	56	3122		180	1	1	227-0+45+46+5+55+56
750	3087	8	3124		180	1	1	608-0+45+46+5+55+56++夜|707-0+44+46+5+54+56++日
751	3129	0	3137		180	1	1	608-0+45+46+5+55+56++夜
753	3132	0	3136		180	1	1	707-0+44+46+5+54+56++日
754	2674	76	3809		180	1	1	659-0+3+4+5+15+16|659-0+4+4
756	2452	76	3778		300	1	1	659-0+3+4+5+15+16
757	2732	76	3786		0	1	1	661-0+3+4+5+15+16|661-0+4+4
759	2481	76	3857		300	1	1	661-0+3+4+5+15+16
760	2451	76	3746		300	1	1	661-0+3+4+5+15+16
761	2368	76	3846		120	1	1	179-0+3+5+5+15+17+50
762	2344	76	3859		120	1	1	179-0+3+5+5+15+17+50
763	2208	24	3765		300	1	1	016-0+3+5+5+15+17
764	2384	-11	3764		300	1	1	016-0+3+5+5+15+17
765	2526	77	3805		120	1	1	664-6+3+4+5+15+16
766	2515	75	3840		120	1	1	664-6+3+4+5+15+16
767	2430	75	3805		120	1	1	013-0+3+4+5+15+16
768	2342	-12	3759		120	1	1	013-0+3+4+5+15+16
769	2181	75	3828		60	1	1	172-0+4+5+5+16+17
770	2118	24	3826	1	300	1	1	016-0+24+26+100+24+26
771	2389	-11	3773		30	1	1	179-0+11+11
772	2593	77	2553		300	1	1	406-0+5+6+5+17+18+50|504-0+5+7+5+17+19+50
773	2423	76	2625		300	1	1	406-0+5+6+5+17+18
774	2493	76	2912		300	1	1	406-0+5+6+5+17+18
775	2515	80	2844		300	1	1	129-0+5+7+5+17+19
776	2617	80	2651		300	1	1	129-0+5+7+5+17+19
777	2550	80	2859		300	1	1	129-0+5+7+5+17+19
778	2653	80	2663		300	1	1	129-0+5+7+5+17+19
779	2545	65	2743		300	1	1	504-0+5+7+5+17+19
780	2741	77	2673		300	1	1	504-0+5+7+5+17+19+50|688-0+5+7+5+17+19+50
781	2393	76	2834		300	1	1	504-0+5+7+5+17+19+50|688-0+5+7+5+17+19+50
782	2605	76	2768		180	1	1	688-0+6+8+5+18+20
783	2566	83	2594		180	1	1	129-0+5+7+5+17+19++日|120-0+5+7+5+17+19++夜
784	2450	83	2832		180	1	1	129-0+5+7+5+17+19++日|120-0+5+7+5+17+19++夜
785	2424	83	2753		180	1	1	129-0+5+7+5+17+19++日|120-0+5+7+5+17+19+50+夜|129-0+5+7+5+17+19+50+夜
786	2480	83	2625		180	1	1	129-0+5+7+5+17+19++日|120-0+5+7+5+17+19+50+夜|129-0+5+7+5+17+19+50+夜
787	2674	83	2845		180	1	1	129-0+5+7+5+17+19++日|120-0+5+7+5+17+19+50+夜|129-0+5+7+5+17+19+50+夜
788	2699	83	2759		180	1	1	129-0+5+7+5+17+19++日|120-0+5+7+5+17+19+50+夜|129-0+5+7+5+17+19+50+夜
795	2706	77	2856	1	300	1	1	129-0+30+32+100+30+32++日|120-0+30+32+100+30+32++夜
797	2359	77	2713		180	1	1	014-0+7+8+5+19+20
798	1680	81	3353	1	300	1	1	460-0+43+45+100+43+45
799	1799	80	3347		180	3	3	361-0+32+34+5+42+44
800	1853	81	3387		180	3	3	361-0+32+34+5+42+44
801	1711	81	3387		180	2	2	459-0+32+33+5+42+43
802	1830	81	3467		180	2	2	459-0+32+33+5+42+43
803	1807	81	3380		60	2	2	582-0+35+36+5+45+46
804	1555	96	3555		60	1	1	582-0+35+36+5+45+46
805	1778	81	3401		300	1	1	673-0+32+34+5+42+44
806	1852	82	3266		300	1	1	673-0+32+34+5+42+44
807	1737	96	3480		300	1	1	712-0+32+33+5+42+43
808	1539	96	3517		300	1	1	712-0+32+33+5+42+43
809	1589	96	3492	1	300	1	1	713-0+54+56+100+54+56
810	1693	78	3277		180	1	1	066-0+32+33+5+42+43
811	1714	78	3287		180	1	1	066-0+32+33+5+42+43
812	1713	78	3264		180	1	1	067-0+34+35+5+44+45
813	1800	81	3315		120	1	1	225-0+32+35+5+42+45
814	1640	81	3342		120	1	1	225-0+32+35+5+42+45
815	1869	82	3541		120	1	1	225-0+32+35+5+42+45
816	632	70	2646		180	1	1	079-0+30+32+5+41+43+70|120-0+31+33+5+42+44+30
817	738	54	2621		180	1	1	079-0+30+32+5+41+43+70|120-0+31+33+5+42+44+30
818	746	53	2692		180	1	1	079-0+30+32+5+41+43+70|120-0+31+33+5+42+44+30
819	524	84	2766		180	3	3	318-0+30+31+5+41+42
820	681	84	2754		180	2	2	318-0+30+31+5+41+42
821	812	82	2678		60	2	2	602-0+31+32+5+42+43
822	489	76	2853		300	1	1	069-0+29+31+5+40+42
823	414	76	2732		300	1	1	069-0+29+31+5+40+42
824	518	76	2679		300	1	1	069-0+29+31+5+40+42
825	703	84	2714	1	300	1	1	319-0+41+43+100+41+43
826	670	0	2571		180	1	1	505-0+30+32+5+41+43
827	648	0	2591		180	1	1	505-0+30+32+5+41+43
828	390	-9	2688		180	1	1	505-0+30+32+5+41+43
829	450	-9	2682		180	1	1	505-0+30+32+5+41+43
830	797	-10	2667		180	1	1	505-0+30+32+5+41+43
831	798	-10	2635		180	1	1	505-0+30+32+5+41+43
832	814	-10	2690	1	300	1	1	505-0+41+43+100+41+43
833	566	-9	2832		300	1	1	024-0+31+33+5+42+44
834	492	0	2905		300	1	1	024-0+31+33+5+42+44
835	457	0	2897		300	1	1	024-0+31+33+5+42+44
836	593	-18	2712	1	300	1	1	024-0+50+52+100+50+52
837	449	76	2794		180	1	1	079-0+30+32+5+41+43
838	460	76	2829		180	1	1	079-0+30+32+5+41+43
839	1562	-1	2274		300	1	2	016-0+11+13+5+23+25
840	1725	1	2349		300	2	2	016-0+11+13+5+23+25
841	1733	61	2489		300	2	2	016-0+11+13+5+23+25
842	1714	23	2664		300	2	2	017-0+18+20+5+30+32
843	1596	-2	2335		180	3	3	063-0+12+14+5+24+26
844	1818	14	2695		300	2	2	063-0+12+14+5+24+26
845	1714	89	2297		300	1	2	069-0+11+13+5+23+25
846	1663	75	2482		300	1	1	069-0+11+13+5+23+25
847	1800	76	2455		300	1	1	069-0+11+13+5+23+25
848	1539	67	2480		300	2	3	069-0+11+13+5+23+25+50|659-0+11+13+5+23+25+50
849	1749	76	2409	1	300	1	1	069-0+24+25+100+24+25
850	1925	16	2416		180	2	2	309-0+16+19+5+28+31
851	1737	70	2655		180	1	1	309-0+16+19+5+28+31
852	1783	96	2629		180	1	1	543-0+14+15+5+26+27
853	1890	94	2476		180	1	2	543-0+14+15+5+26+27
854	1889	102	2561		180	1	1	543-0+14+15+5+26+27
855	1533	68	2449		180	2	2	543-0+14+15+5+26+27
856	1852	104	2560	1	300	1	1	544-0+27+28+100+27+28
857	1852	26	2435		300	1	1	017-0+18+20+5+30+32
858	1770	31	2580		300	1	1	017-0+18+20+5+30+32
859	1540	69	2500	1	30	1	1	475-0+70+70+100+70+70
860	1516	75	2663		300	1	1	180-0+40+41+5+50+51
861	1633	75	2757		300	1	1	180-0+40+41+5+50+51
862	1581	75	2690	1	300	1	1	181-0+52+53+100+52+53
863	1520	82	2728		180	1	1	308-0+40+42+5+50+52+85+日|671-3+42+43+5+52+53+10+日|671-4+42+43+5+52+53+5+日|121-0+41+43+5+51+53+10+夜|689-0+41+43+5+51+53+90+夜
864	1566	82	2762		180	1	1	308-0+40+42+5+50+52+85+日|671-3+42+43+5+52+53+10+日|671-4+42+43+5+52+53+5+日|121-0+41+43+5+51+53+10+夜|689-0+41+43+5+51+53+90+夜
867	1492	67	2814		60	1	1	656-0+20+25+5+30+35
868	1411	82	2733		180	1	1	870-0+41+42+5+51+52
869	1603	82	2822		180	1	1	870-0+41+42+5+51+52
870	1379	82	2791		180	1	1	870-0+41+42+5+51+52
871	1387	82	2859		180	1	1	870-0+41+42+5+51+52
872	1483	82	2930		180	1	1	870-0+41+42+5+51+52
873	1551	82	2909		180	1	1	870-0+41+42+5+51+52
874	330	76	1821		180	2	2	530-0+38+39+5+48+49|530-0+48+49+100+48+49
876	386	57	1704		180	1	1	587-0+36+37+5+46+47
877	342	57	1809		180	1	2	587-0+36+37+5+46+47|694-0+37+38+5+47+48++日+晴
878	343	76	1682		180	1	1	304-0+28+30+5+38+40+65|305-0+38+39+5+48+49+35
879	442	76	1729		180	1	1	304-0+28+30+5+38+40+65|305-0+38+39+5+48+49+35
880	477	76	1739		180	1	1	304-0+28+30+5+38+40+65|305-0+38+39+5+48+49+35
881	301	76	1605		180	1	1	304-0+28+30+5+38+40+65|305-0+38+39+5+48+49+35
882	400	76	1706		180	1	1	304-0+28+30+5+38+40+65|305-0+38+39+5+48+49+35
883	409	76	1859		180	1	1	529-0+28+30+5+38+40+70|095-0+37+39+5+47+49+30
884	249	76	1805		180	1	1	529-0+28+30+5+38+40+70|095-0+37+39+5+47+49+30
885	285	76	1929		180	1	1	529-0+28+30+5+38+40+70|095-0+37+39+5+47+49+30
886	329	76	1688		180	1	1	529-0+28+30+5+38+40+70|095-0+37+39+5+47+49+30
887	299	76	1616		180	1	1	529-0+28+30+5+38+40+70|095-0+37+39+5+47+49+30
888	454	76	1734		180	1	1	529-0+28+30+5+38+40+70|095-0+37+39+5+47+49+30
890	612	-9	2382		60	1	1	064-0+28+30+5+39+41
891	645	-9	2380		60	1	1	064-0+28+30+5+39+41
892	538	70	2254		60	1	1	064-0+28+30+5+39+41
893	347	71	2423		180	1	1	302-0+28+30+5+39+41
894	324	71	2285		180	1	1	302-0+28+30+5+39+41
895	616	71	2340		180	1	1	302-0+28+30+5+39+41
896	636	70	2279		180	1	1	302-0+28+30+5+39+41
897	334	76	2139		180	1	1	303-0+27+29+5+38+40
898	311	-18	2515		180	1	1	303-0+27+29+5+38+40
899	348	-18	2474		180	1	1	303-0+27+29+5+38+40
900	391	-18	2491		180	1	1	303-0+27+29+5+38+40
901	376	15	2350		300	1	1	662-0+27+30+5+38+41+75+日|677-0+27+29+5+38+40+25+日
902	364	15	2278		300	1	1	662-0+27+30+5+38+41+75+日|677-0+27+29+5+38+40+25+日
903	422	15	2248		300	1	1	662-0+27+30+5+38+41+75+日|677-0+27+29+5+38+40+25+日
904	375	15	2348		300	1	1	677-0+27+29+5+38+40+75+夜|662-0+27+30+5+38+41+25+夜
905	367	15	2277		300	1	1	677-0+27+29+5+38+40+75+夜|662-0+27+30+5+38+41+25+夜
906	425	15	2248		300	1	1	677-0+27+29+5+38+40+75+夜|662-0+27+30+5+38+41+25+夜
907	458	6	2303	1	300	1	1	678-0+41+42+100+41+42++夜|678-1+41+42+100+41+42++日
909	564	-10	2307		60	2	2	703-0+28+30+5+39+41
910	285	-18	2368		60	2	2	703-0+28+30+5+39+41
911	664	-25	2230		60	2	2	703-0+28+30+5+39+41
912	272	-27	2221	1	300	1	1	310-0+40+41+100+40+41
913	350	-18	2489	1	30	1	1	675-0+70+70+100+70+70
914	830	-1	776		180	2	3	333-0+44+45+5+54+55++日|714-0+44+45+5+54+55++夜
915	827	-1	777		180	1	1	334-0+46+47+5+56+57++日|715-0+48+49+5+58+59++夜
916	792	76	736		180	2	3	371-0+44+45+5+54+55
917	765	75	709	1	300	1	1	373-0+61+62+100+61+62
918	896	76	804	1	300	1	1	428-0+55+56+100+55+56
919	843	-27	691		60	1	1	653-0+20+25+5+30+35
922	1171	39	1762	1	300	1	1	662-0+32+33+100+32+33
923	1135	75	1636		180	1	2	014-0+19+20+5+30+31+50|670-0+20+21+5+31+32+45|670-2+20+22+5+31+33+5
924	1069	75	1842		180	1	2	014-0+19+20+5+30+31+50|670-0+20+21+5+31+32+45|670-2+20+22+5+31+33+5
925	1172	76	1761		180	2	2	315-0+20+22+5+31+33+50|582-0+19+21+5+30+32+50|449-0+20+22+5+31+33+90+日|531-0+20+22+5+31+33+10+日|353-0+20+22+5+31+33+90+夜|531-0+20+22+5+31+33+10+夜
926	1244	75	1839		180	1	1	582-0+19+21+5+30+32
927	1173	75	1669		180	1	1	582-0+19+21+5+30+32
931	1620	76	284		180	2	2	123-0+37+39+5+47+49++夜
932	1692	76	261		180	2	2	127-0+36+38+5+46+48++日|127-0+36+38+5+46+48++夜
934	1507	76	232		300	1	1	666-6+36+37+5+46+47++日
935	1573	76	210		300	1	1	666-6+36+37+5+46+47++日
936	1659	76	189		300	2	2	666-6+36+37+5+46+47++日
937	1749	76	176		300	1	1	666-6+36+37+5+46+47++日
938	1531	76	301		180	2	2	214-0+36+38+5+46+48++日|214-0+36+38+5+46+48++夜
940	1598	76	296		300	1	1	070-0+36+37+5+46+47++日|070-0+46+47+100+46+47++日
942	1650	76	196		180	3	3	708-0+36+37+5+46+47++夜
943	1650	76	195	1	300	1	1	709-0+47+48+100+47+48++夜
944	2175	76	534		240	1	1	167-0+7+8+5+19+20
945	2172	76	609		240	1	1	167-0+7+8+5+19+20
946	2241	76	546		240	1	1	167-0+7+8+5+19+20
947	2509	76	636		240	1	1	167-0+7+8+5+19+20
948	2345	76	493		240	1	1	167-0+7+8+5+19+20++日
