编号	名称	地点	X	Y	头目	宝可梦列表
329	spn_a0601_w01_v00_001	２０号野生特区	1948	1903		306-0+54+55+5+9+30|560-0+54+56+5+9+35|569-0+53+55+5+9+35
330	spn_a0601_w01_v00_002	２０号野生特区	1897	1975		306-0+54+55+5+9+30|560-0+54+56+5+9+35|569-0+53+55+5+9+35
331	spn_a0601_w01_v00_101	２０号野生特区	2084	1889		001-0+53+54+5+9+15|152-0+54+55+5+9+15|407-0+53+54+5+9+35|282-0+53+54+5+9+35
332	spn_a0601_w01_v00_102	２０号野生特区	2211	1965		001-0+53+54+5+9+15|152-0+54+55+5+9+15|407-0+53+54+5+9+35|282-0+53+54+5+9+35
333	spn_a0601_w01_v00_201	２０号野生特区	1882	2108		004-0+53+54+5+9+15|498-0+54+55+5+9+15|450-0+54+55+5+9+35|448-0+54+55+5+9+35
334	spn_a0601_w01_v00_202	２０号野生特区	1969	2204		004-0+53+54+5+9+15|498-0+54+55+5+9+15|450-0+54+55+5+9+35|448-0+54+55+5+9+35
335	spn_a0601_w01_v00_301	２０号野生特区	2107	2217		687-0+54+55+5+9+50|691-0+53+54+5+9+50
336	spn_a0601_w01_v00_302	２０号野生特区	2175	2189		007-0+53+54+5+9+15|158-0+54+55+5+9+15|691-0+53+54+5+9+35|687-0+54+55+5+9+35
337	spn_a0601_w01_v00_303	２０号野生特区	2212	2084		007-0+53+54+5+9+15|158-0+54+55+5+9+15|691-0+53+54+5+9+15|687-0+54+55+5+9+15|407-0+53+54+5+9+20|282-0+53+54+5+9+20
338	spn_a0601_w01_v00_401	２０号野生特区	2018	2048	1	026-0+54+55+100+9+1.49|036-0+54+55+100+9+1.49|065-0+55+56+100+9+1.49|068-0+55+56+100+9+1.49|071-0+54+55+100+9+1.49|094-0+54+55+100+9+1.49|115-0+55+56+100+9+1.49|121-0+54+55+100+9+1.49|127-0+54+55+100+9+1.49|130-0+55+56+100+9+1.49|134-0+54+55+100+9+1.49|135-0+54+55+100+9+1.49|136-0+54+55+100+9+1.49|149-0+55+56+100+9+1.49|168-0+54+55+100+9+1.49|214-0+54+55+100+9+1.49|225-0+54+55+100+9+1.49|227-0+54+55+100+9+1.49|248-0+55+56+100+9+1.49|282-0+55+56+100+9+1.49|302-0+54+55+100+9+1.49|306-0+55+56+100+9+1.49|308-0+54+55+100+9+1.49|334-0+55+56+100+9+1.49|359-0+55+56+100+9+1.49|376-0+54+55+100+9+1.49|407-0+54+55+100+9+1.49|445-0+55+56+100+9+1.49|448-0+55+56+100+9+1.49|450-0+54+55+100+9+1.49|470-0+54+55+100+9+1.49|471-0+54+55+100+9+1.49|475-0+55+56+100+9+1.49|478-0+54+55+100+9+1.49|512-0+54+55+100+9+1.49|514-0+54+55+100+9+1.49|516-0+54+55+100+9+1.49|545-0+54+55+100+9+1.49|553-0+54+55+100+9+1.49|560-0+54+55+100+9+1.49|569-0+55+56+100+9+1.49|584-0+54+55+100+9+1.49|604-0+55+56+100+9+1.49|609-0+55+56+100+9+1.49|618-0+54+55+100+9+1.49|660-0+54+55+100+9+1.49|663-0+54+55+100+9+1.49|666-6+54+55+100+9+1.49|671-0+55+56+100+9+1.49|673-0+54+55+100+9+1.49|675-0+55+56+100+9+1.49|676-0+54+55+100+9+1.49|681-0+55+56+100+9+1.49|687-0+55+56+100+9+1.49|689-0+55+56+100+9+1.49|691-0+55+56+100+9+1.49|695-0+55+56+100+9+1.49|700-0+54+55+100+9+1.49|701-0+54+55+100+9+1.49|702-0+54+55+100+9+1.49|703-0+54+55+100+9+1.49|706-0+55+56+100+9+1.49|707-0+54+55+100+9+1.49|711-0+54+55+100+9+1.49|715-0+54+55+100+9+1.49|780-0+55+56+100+9+1.49|870-0+55+56+100+9+1.49
339	spn_a0601_w01_v00_402	２０号野生特区	2069	2048	1	026-0+54+55+100+9+1.49|036-0+54+55+100+9+1.49|065-0+55+56+100+9+1.49|068-0+55+56+100+9+1.49|071-0+54+55+100+9+1.49|094-0+54+55+100+9+1.49|115-0+55+56+100+9+1.49|121-0+54+55+100+9+1.49|127-0+54+55+100+9+1.49|130-0+55+56+100+9+1.49|134-0+54+55+100+9+1.49|135-0+54+55+100+9+1.49|136-0+54+55+100+9+1.49|149-0+55+56+100+9+1.49|168-0+54+55+100+9+1.49|214-0+54+55+100+9+1.49|225-0+54+55+100+9+1.49|227-0+54+55+100+9+1.49|248-0+55+56+100+9+1.49|282-0+55+56+100+9+1.49|302-0+54+55+100+9+1.49|306-0+55+56+100+9+1.49|308-0+54+55+100+9+1.49|334-0+55+56+100+9+1.49|359-0+55+56+100+9+1.49|376-0+54+55+100+9+1.49|407-0+54+55+100+9+1.49|445-0+55+56+100+9+1.49|448-0+55+56+100+9+1.49|450-0+54+55+100+9+1.49|470-0+54+55+100+9+1.49|471-0+54+55+100+9+1.49|475-0+55+56+100+9+1.49|478-0+54+55+100+9+1.49|512-0+54+55+100+9+1.49|514-0+54+55+100+9+1.49|516-0+54+55+100+9+1.49|545-0+54+55+100+9+1.49|553-0+54+55+100+9+1.49|560-0+54+55+100+9+1.49|569-0+55+56+100+9+1.49|584-0+54+55+100+9+1.49|604-0+55+56+100+9+1.49|609-0+55+56+100+9+1.49|618-0+54+55+100+9+1.49|660-0+54+55+100+9+1.49|663-0+54+55+100+9+1.49|666-6+54+55+100+9+1.49|671-0+55+56+100+9+1.49|673-0+54+55+100+9+1.49|675-0+55+56+100+9+1.49|676-0+54+55+100+9+1.49|681-0+55+56+100+9+1.49|687-0+55+56+100+9+1.49|689-0+55+56+100+9+1.49|691-0+55+56+100+9+1.49|695-0+55+56+100+9+1.49|700-0+54+55+100+9+1.49|701-0+54+55+100+9+1.49|702-0+54+55+100+9+1.49|703-0+54+55+100+9+1.49|706-0+55+56+100+9+1.49|707-0+54+55+100+9+1.49|711-0+54+55+100+9+1.49|715-0+54+55+100+9+1.49|780-0+55+56+100+9+1.49|870-0+55+56+100+9+1.49
340	spn_outzone_a0502_B50	琼黄１０号街区	3244	2253		662-0+18+21
341	spn_outzone_a0502_L02	琼黄１０号街区	3649	2254		704-0+35+39+20+10+95++雨|705-0+41+43+20+10+5++雨
342	spn_outzone_a0301_050	蓉粉６号街区	261	2007		013-0+7+10
343	spn_outzone_a0301_152	蓉粉６号街区	410	1984		069-0+11+14
344	spn_outzone_a0301_350	蓉粉６号街区	641	1819		504-0+13+16
345	spn_outzone_a0301_401	蓉粉６号街区	545	1803		568-0+13+16
346	spn_outzone_a0301_452	蓉粉６号街区	844	1770		661-0+7+10
347	spn_outzone_a0301_502	蓉粉６号街区	631	1905		669-0+11+14
348	spn_outzone_a0301_550	蓉粉６号街区	566	1770		702-0+17+20+20+10+50|661-0+7+10+++50
349	spn_outzone_a0301_551	蓉粉６号街区	424	2102		702-0+17+20+++50|661-0+7+10+++50
350	spn_outzone_a0301_700	蓉粉６号街区	261	2007		014-0+9+12
351	spn_outzone_a0301_750	蓉粉６号街区	264	2007		015-0+12+15
352	spn_outzone_a0301_950	蓉粉６号街区	503	2049		664-6+7+10
353	spn_outzone_a0301_A00	蓉粉６号街区	503	2050		665-6+11+14
354	spn_outzone_a0301_A50	蓉粉６号街区	503	2049		666-6+14+17
355	spn_outzone_a0301_B50	蓉粉６号街区	663	1727		662-0+19+22
356	spn_outzone_a0301_D00	蓉粉６号街区	631	1905		670-0+21+24
357	spn_outzone_a0301_D50	蓉粉６号街区	492	1901		063-0+19+22
358	spn_outzone_a0301_E51	蓉粉６号街区	610	1994		092-0+16+19++++夜
359	spn_outzone_a0301_F01	蓉粉６号街区	601	1984		093-0+27+30++++夜
360	spn_outzone_a0301_I52	蓉粉６号街区	558	2002		684-0+18+21+++50+日|682-0+18+21+++50+日
361	spn_outzone_a0301_P00	蓉粉６号街区	784	1985		333-0+17+20+++10++晴|661-0+7+10+++90++晴
362	spn_outzone_a0301_051	蓉粉３号街区	872	2020		013-0+7+10
363	spn_outzone_a0301_102	蓉粉３号街区	743	2424		016-0+7+10
364	spn_outzone_a0301_150	蓉粉３号街区	1130	2228		069-0+11+14
365	spn_outzone_a0301_151	蓉粉３号街区	1083	2267		069-0+11+14
366	spn_outzone_a0301_153	蓉粉３号街区	1031	2087		069-0+11+14
367	spn_outzone_a0301_154	蓉粉３号街区	1035	2109		069-0+11+14
368	spn_outzone_a0301_155	蓉粉３号街区	1077	2085		069-0+11+14
369	spn_outzone_a0301_402	蓉粉３号街区	833	2169		568-0+13+16
370	spn_outzone_a0301_451	蓉粉３号街区	825	2081		661-0+7+10
371	spn_outzone_a0301_453	蓉粉３号街区	991	2040		661-0+7+10
372	spn_outzone_a0301_456	蓉粉３号街区	855	2139		661-0+7+10
373	spn_outzone_a0301_900	蓉粉３号街区	920	1923		023-0+13+16
374	spn_outzone_a0301_E52	蓉粉３号街区	904	1804		092-0+16+19++++夜
375	spn_outzone_a0301_E53	蓉粉３号街区	888	1867		092-0+16+19++++夜
376	spn_outzone_a0301_I50	蓉粉３号街区	1159	1989		684-0+18+21++++日
377	spn_outzone_a0301_I53	蓉粉３号街区	1020	1962	1	684-0+18+21+100+10
378	spn_outzone_a0301_100	南侧大道	213	1776		016-0+7+10
379	spn_outzone_a0301_101	南侧大道	158	2165		016-0+7+10
380	spn_outzone_a0301_103	蓉粉大道	566	1608		016-0+7+10
381	spn_outzone_a0301_201	蓉粉大道	751	1629		129-0+12+15
382	spn_outzone_a0301_202	蓉粉大道	470	1538		129-0+12+15
383	spn_outzone_a0301_L00	蓉粉大道	608	1576		704-0+35+39+20+10+95++雨|705-0+42+44+20+10+5++雨
384	spn_outzone_a0301_L01	蓉粉大道	747	1567		704-0+35+39+20+10+95++雨|705-0+42+44+20+10+5++雨
385	spn_outzone_a0302_102	蓉粉大道	562	1490		016-0+7+9
386	spn_outzone_a0302_104	蓉粉大道	861	1587		016-0+7+9
387	spn_outzone_a0301_104	粉色广场	1237	1949		016-0+7+10
388	spn_outzone_a0301_200	蓉粉大道	1518	1877		129-0+12+15
389	spn_outzone_a0301_300	蓉粉１号街区	1347	2181		406-0+12+15
390	spn_outzone_a0301_450	蓉粉１号街区	1559	2003		661-0+7+10
391	spn_outzone_a0301_455	蓉粉１号街区	1342	1928		661-0+7+10
392	spn_outzone_a0301_500	蓉粉１号街区	1622	2058		669-0+11+14
393	spn_outzone_a0301_501	蓉粉１号街区	1320	1980		669-1+11+14
394	spn_outzone_a0301_650	蓉粉１号街区	1546	2129		173-0+12+15
395	spn_outzone_a0301_C00	蓉粉１号街区	1445	1980		663-0+37+40
396	spn_outzone_a0301_E50	蓉粉１号街区	1395	2054		092-0+16+19++++夜
397	spn_outzone_a0301_F00	蓉粉１号街区	1395	2050		093-0+27+30++++夜
398	spn_outzone_a0301_I51	蓉粉１号街区	1524	2172		684-0+18+21+++50+日|682-0+18+21+++50+日
399	spn_outzone_a0301_L50	蓉粉１号街区	1303	2110		701-0+23+26+20+10+50|016-0+7+10+++50
400	spn_outzone_a0301_552	蓉粉２号街区	1605	1599		702-0+17+20+20+10+10|504-0+13+16+++90
401	spn_outzone_a0302_300	蓉粉２号街区	1422	1681		406-0+12+14
402	spn_outzone_a0302_450	蓉粉２号街区	1647	1691		661-0+7+9
403	spn_outzone_a0302_454	蓉粉２号街区	1392	1652		661-0+7+9
404	spn_outzone_a0302_900	蓉粉２号街区	1431	1722		023-0+13+15
405	spn_outzone_a0302_O50	蓉粉２号街区	1562	1706		246-0+22+24+20+10
406	spn_outzone_a0302_050	蓉粉９号街区	757	1020		013-0+7+9
407	spn_outzone_a0302_051	蓉粉９号街区	668	964		013-0+7+9
408	spn_outzone_a0302_052	蓉粉９号街区	730	953		013-0+7+9
409	spn_outzone_a0302_401	蓉粉９号街区	840	932		568-0+13+15
410	spn_outzone_a0302_700	蓉粉９号街区	717	944	1	014-0+9+11+100+10
411	spn_outzone_a0302_J01	蓉粉９号街区	607	972		133-0+16+18++++日+晴
412	spn_outzone_a0302_J50	蓉粉９号街区	706	1005		303-0+20+22+++50+夜|092-0+16+18+++50+夜
413	spn_outzone_a0302_K00	蓉粉９号街区	1043	843		447-0+17+19+20+10++日+晴
414	spn_outzone_a0302_L50	蓉粉９号街区	769	1102		701-0+23+25+20+10+10|661-0+7+9+++90
415	spn_outzone_a0302_053	蓉粉７号街区	921	1240		013-0+7+9
416	spn_outzone_a0302_550	蓉粉７号街区	893	1035		702-0+17+19+20+10+50|661-0+7+9+++50
417	spn_outzone_a0302_B02	蓉粉７号街区	877	1463		659-0+13+15+++50|427-0+16+18+++50
418	spn_outzone_a0302_B03	蓉粉７号街区	877	1463		659-0+13+15+++50|427-0+16+18+++50
419	spn_outzone_a0302_D50	蓉粉７号街区	947	1113		063-0+19+21
420	spn_outzone_a0302_E00	蓉粉７号街区	833	1251		353-0+20+22++++夜
421	spn_outzone_a0302_F50	蓉粉７号街区	847	1392		359-0+18+20+20+10
422	spn_outzone_a0302_G00	蓉粉７号街区	901	1156		280-0+12+14+20+10
423	spn_outzone_a0302_G01	蓉粉７号街区	958	1242		280-0+12+14+20+10
424	spn_outzone_a0302_G50	蓉粉７号街区	836	1460		511-0+15+17+++33.33|513-0+15+17+++33.33|515-0+15+17+++33.33
425	spn_outzone_a0302_J00	蓉粉７号街区	964	1323		133-0+16+18++++日+晴
426	spn_outzone_a0302_M51	蓉粉７号街区	808	1510		587-0+19+21
427	spn_outzone_a0302_054	蓉粉４号街区	1301	1539		013-0+7+9
428	spn_outzone_a0302_252	蓉粉４号街区	1132	1332		167-0+12+14
429	spn_outzone_a0302_301	蓉粉４号街区	1088	1381		406-0+12+14
430	spn_outzone_a0302_402	蓉粉４号街区	1181	1443		568-0+13+15
431	spn_outzone_a0302_456	蓉粉４号街区	1008	1405		661-0+7+9
432	spn_outzone_a0302_500	蓉粉４号街区	1302	1173		669-0+11+13
433	spn_outzone_a0302_501	蓉粉４号街区	1002	1486		669-3+11+13
434	spn_outzone_a0302_551	蓉粉４号街区	1227	1344		702-0+17+19+20+10+50|661-0+7+9+++50
435	spn_outzone_a0302_750	蓉粉４号街区	1315	1540		015-0+12+14
436	spn_outzone_a0302_E50	蓉粉４号街区	1161	1396		092-0+16+18++++夜
437	spn_outzone_a0302_E51	蓉粉４号街区	1196	1472		092-0+16+18++++夜
438	spn_outzone_a0302_E52	蓉粉４号街区	1433	1388		092-0+16+18++++夜
439	spn_outzone_a0302_E53	蓉粉４号街区	1134	1472		092-0+16+18++++夜
440	spn_outzone_a0302_E54	蓉粉４号街区	1028	1461		092-0+16+18++++夜
441	spn_outzone_a0302_I50	蓉粉４号街区	1353	1239		684-0+18+20
442	spn_outzone_a0302_100	北侧大道	604	904		016-0+7+9
443	spn_outzone_a0302_101	北侧大道	350	1207		016-0+7+9
444	spn_outzone_a0302_560	北侧大道	252	1348		702-0+17+20+++70|587-0+19+22+++30
445	spn_outzone_a0302_150	蓉粉８号街区	485	1283		069-0+11+13
446	spn_outzone_a0302_151	蓉粉８号街区	457	1235		069-0+11+13
447	spn_outzone_a0302_152	蓉粉８号街区	494	1248		069-0+11+13
448	spn_outzone_a0302_302	蓉粉８号街区	623	1412		406-0+12+14
449	spn_outzone_a0302_350	蓉粉８号街区	463	1338		504-0+13+15
450	spn_outzone_a0302_351	蓉粉８号街区	689	1186		504-0+13+15
451	spn_outzone_a0302_502	蓉粉８号街区	735	1189		669-2+11+13
452	spn_outzone_a0302_B00	蓉粉８号街区	491	1370		659-0+13+15
453	spn_outzone_a0302_B01	蓉粉８号街区	488	1406		659-0+13+15
454	spn_outzone_a0302_K50	蓉粉８号街区	446	1268		147-0+28+29+20+10+95|148-0+32+33+20+10+5
455	spn_outzone_a0302_M50	蓉粉８号街区	654	1160		587-0+19+21
456	spn_outzone_a0302_P00	蓉粉８号街区	567	1071		333-0+17+19+++10++晴|661-0+7+9+++90++晴
457	spn_outzone_a0401_050	榴红３号街区	1173	540		013-0+5+8
458	spn_outzone_a0401_104	榴红３号街区	1419	963		016-0+5+8
459	spn_outzone_a0401_303	榴红３号街区	1342	935		406-0+10+13
460	spn_outzone_a0401_352	榴红３号街区	1596	1221		504-0+11+14
461	spn_outzone_a0401_400	榴红３号街区	1397	724		568-0+11+14
462	spn_outzone_a0401_452	榴红３号街区	1055	552		661-0+5+8
463	spn_outzone_a0401_454	榴红３号街区	1210	487		661-0+5+8
464	spn_outzone_a0401_455	榴红３号街区	1233	472		661-0+5+8
465	spn_outzone_a0401_700	榴红３号街区	1174	542		014-0+7+10
466	spn_outzone_a0401_800	榴红３号街区	1315	725		017-0+18+21
467	spn_outzone_a0401_900	榴红３号街区	1215	730		023-0+11+14
468	spn_outzone_a0401_B50	榴红３号街区	1319	395		662-0+17+20
469	spn_outzone_a0401_J50	榴红３号街区	1438	1089		303-0+18+21+++50+夜|353-0+18+21+++50+夜
470	spn_outzone_a0401_L50	榴红３号街区	1538	1050		701-0+21+24+20+10+50|016-0+5+8+++50
471	spn_outzone_a0401_L51	榴红３号街区	1263	694		701-0+21+24+20+10+10|016-0+5+8+++90
472	spn_outzone_a0401_M50	榴红３号街区	1231	709		559-0+20+23++++夜
473	spn_outzone_a0401_M51	榴红３号街区	1231	709		559-0+20+23++++夜
474	spn_outzone_a0401_M52	榴红３号街区	1231	709		559-0+20+23+++66.67+夜|560-0+40+42+++33.33+夜
475	spn_outzone_a0401_051	榴红６号街区	2555	748		013-0+5+8
476	spn_outzone_a0401_701	榴红６号街区	2557	746		014-0+7+10
477	spn_outzone_a0402_400	榴红６号街区	2171	810		568-0+12+14
478	spn_outzone_a0402_450	榴红６号街区	2314	978		661-0+6+8
479	spn_outzone_a0402_451	榴红６号街区	2353	746		661-0+6+8
480	spn_outzone_a0402_452	榴红６号街区	2627	746		661-0+6+8
481	spn_outzone_a0402_457	榴红６号街区	2428	739		661-0+6+8
482	spn_outzone_a0402_500	榴红６号街区	2394	953		669-3+10+12
483	spn_outzone_a0402_551	榴红６号街区	2486	808		702-0+16+18+20+10+10|504-0+12+14+++90
484	spn_outzone_a0402_C50	榴红６号街区	2788	886		677-0+13+15
485	spn_outzone_a0402_C51	榴红６号街区	2251	769		677-0+13+15
486	spn_outzone_a0402_D51	榴红６号街区	2417	818		063-0+18+20
487	spn_outzone_a0402_G61	榴红６号街区	2673	891		511-0+14+16+++33.33|513-0+14+16+++33.33|515-0+14+16+++33.33
488	spn_outzone_a0402_I50	榴红６号街区	2344	887		684-0+17+19+++50|682-0+17+19+++50
489	spn_outzone_a0402_I52	榴红６号街区	2284	868		684-0+17+19
490	spn_outzone_a0401_052	榴红大道	2048	465		013-0+5+8
491	spn_outzone_a0401_702	榴红大道	2048	465		014-0+7+10
492	spn_outzone_a0402_455	榴红大道	2076	154		661-0+6+8
493	spn_outzone_a0401_100	榴红大道	2012	1544		016-0+5+8
494	spn_outzone_a0401_101	红色广场	1862	1263		016-0+5+8
495	spn_outzone_a0402_101	红色广场	2166	904		016-0+6+8
496	spn_outzone_a0401_102	榴红１号街区	1754	918		016-0+5+8
497	spn_outzone_a0401_300	榴红１号街区	1966	1484		406-0+10+13
498	spn_outzone_a0401_301	榴红１号街区	1780	991		406-0+10+13
499	spn_outzone_a0401_350	榴红１号街区	1934	1361		504-0+11+14
500	spn_outzone_a0401_351	榴红１号街区	1898	1343		504-0+11+14
501	spn_outzone_a0401_457	榴红１号街区	1693	1101		661-0+5+8
502	spn_outzone_a0401_458	榴红１号街区	1706	1214		661-0+5+8
503	spn_outzone_a0401_459	榴红１号街区	1740	1108		661-0+5+8
504	spn_outzone_a0401_950	榴红１号街区	1742	1272		664-6+5+8
505	spn_outzone_a0401_951	榴红１号街区	1800	1228		664-6+5+8
506	spn_outzone_a0401_A50	榴红１号街区	1776	1002		666-6+12+15
507	spn_outzone_a0401_I50	榴红１号街区	1677	1092		684-0+16+19+++71.43|682-0+16+19+++28.57
508	spn_outzone_a0401_I51	榴红１号街区	1701	1215		684-0+16+19+++71.43|682-0+16+19+++28.57
509	spn_outzone_a0401_L00	榴红１号街区	1772	1007		704-0+35+39+20+10+95++雨|705-0+40+42+20+10+5++雨
510	spn_outzone_a0401_M00	榴红１号街区	1674	1121		587-0+17+20
511	spn_outzone_a0401_M01	榴红１号街区	1631	1317		587-0+17+20
512	spn_outzone_a0401_P00	榴红１号街区	1987	1400		333-0+15+18+++10++晴|016-0+5+8+++90++晴
513	spn_outzone_a0401_103	榴红５号街区	1752	663		016-0+5+8
514	spn_outzone_a0401_150	榴红５号街区	1690	648		069-0+9+12
515	spn_outzone_a0401_151	榴红５号街区	1709	639		069-0+9+12
516	spn_outzone_a0401_304	榴红５号街区	1924	854		406-0+10+13
517	spn_outzone_a0401_456	榴红５号街区	1894	738		661-0+5+8
518	spn_outzone_a0401_500	榴红５号街区	1851	637		669-0+9+12
519	spn_outzone_a0401_501	榴红５号街区	1797	637		669-1+9+12
520	spn_outzone_a0401_801	榴红５号街区	1804	842		017-0+18+21
521	spn_outzone_a0402_650	榴红５号街区	1964	640		173-0+11+13
522	spn_outzone_a0401_305	榴红４号街区	1447	561		406-0+10+13
523	spn_outzone_a0401_850	榴红４号街区	1504	717		018-0+36+39
524	spn_outzone_a0401_C52	榴红４号街区	1362	519		677-0+12+15
525	spn_outzone_a0401_I00	榴红４号街区	1452	563		682-0+16+19
526	spn_outzone_a0401_I01	榴红４号街区	1399	651		682-0+16+19
527	spn_outzone_a0401_I02	榴红４号街区	1636	803		682-0+16+19
528	spn_outzone_a0401_K00	榴红４号街区	1609	954		447-0+15+18+20+10++日+晴
529	spn_outzone_a0401_401	榴红７号街区	1427	458		568-0+11+14
530	spn_outzone_a0401_453	榴红７号街区	1904	605		661-0+5+8
531	spn_outzone_a0401_C50	榴红７号街区	1559	394		677-0+12+15
532	spn_outzone_a0401_C51	榴红７号街区	1655	397		677-0+12+15
533	spn_outzone_a0401_G63	榴红７号街区	1971	534		511-0+13+16+++33.33|513-0+13+16+++33.33|515-0+13+16+++33.33
534	spn_outzone_a0401_G64	榴红７号街区	1947	538		511-0+13+16+++33.33|513-0+13+16+++33.33|515-0+13+16+++33.33
535	spn_outzone_a0401_G65	榴红７号街区	1969	537	1	511-0+13+16+100+10+33.33|513-0+13+16+100+10+33.33|515-0+13+16+100+10+33.33
536	spn_outzone_a0401_I03	榴红７号街区	1552	359	1	682-0+16+19+100+10
537	spn_outzone_a0401_O50	榴红７号街区	1936	253		246-0+20+23+20+10
538	spn_outzone_a0401_450	北侧大道	1116	409		661-0+5+8
539	spn_outzone_a0401_451	秋日大道	1002	529		661-0+5+8
540	spn_outzone_a0401_G60	秋日大道	1761	1652		511-0+13+16+++33.33|513-0+13+16+++33.33|515-0+13+16+++33.33
541	spn_outzone_a0401_G61	秋日大道	1477	1261		511-0+13+16+++33.33|513-0+13+16+++33.33|515-0+13+16+++33.33
542	spn_outzone_a0401_G62	秋日大道	1054	675		511-0+13+16+++33.33|513-0+13+16+++33.33|515-0+13+16+++33.33
543	spn_outzone_a0401_G00	榴红２号街区	2231	1472		280-0+10+13+20+10
544	spn_outzone_a0402_050	榴红２号街区	2226	1607		013-0+6+8
545	spn_outzone_a0402_051	榴红２号街区	2160	1547		013-0+6+8
546	spn_outzone_a0402_052	榴红２号街区	2347	1436		013-0+6+8
547	spn_outzone_a0402_700	榴红２号街区	2226	1607		014-0+8+10
548	spn_outzone_a0402_701	榴红２号街区	2160	1547		014-0+8+10
549	spn_outzone_a0402_750	榴红２号街区	2193	1577		015-0+11+13
550	spn_outzone_a0402_800	榴红２号街区	2228	1672		017-0+19+21
551	spn_outzone_a0402_801	榴红２号街区	2194	1349		017-0+19+21
552	spn_outzone_a0402_B00	榴红２号街区	2192	1604		659-0+12+14
553	spn_outzone_a0402_I00	榴红２号街区	2124	1473		682-0+17+19
554	spn_outzone_a0402_I51	榴红２号街区	2389	1440		684-0+17+19
555	spn_outzone_a0402_102	冬日大道	2215	1738		016-0+6+8
556	spn_outzone_a0402_304	冬日大道	2302	1699		406-0+11+13
557	spn_outzone_a0402_305	冬日大道	2442	1508		406-0+11+13
558	spn_outzone_a0402_G62	冬日大道	3052	665		511-0+14+16+++33.33|513-0+14+16+++33.33|515-0+14+16+++33.33
559	spn_outzone_a0402_G63	冬日大道	2945	811		511-0+14+16+++33.33|513-0+14+16+++33.33|515-0+14+16+++33.33
560	spn_outzone_a0402_153	榴红８号街区	2858	443		069-0+10+12
561	spn_outzone_a0402_154	榴红８号街区	2827	469		069-0+10+12
562	spn_outzone_a0402_301	榴红８号街区	2669	554		406-0+11+13
563	spn_outzone_a0402_454	榴红８号街区	2494	387		661-0+6+8
564	spn_outzone_a0402_501	榴红８号街区	2115	317		669-0+10+12
565	spn_outzone_a0402_503	榴红８号街区	2500	299		669-0+10+12
566	spn_outzone_a0402_550	榴红８号街区	2405	320		702-0+16+18+20+10+50|659-0+12+14+++50
567	spn_outzone_a0402_900	榴红８号街区	2943	598		023-0+12+14+++91.89|024-0+22+24+++8.11
568	spn_outzone_a0402_950	榴红８号街区	2421	370		664-6+6+8
569	spn_outzone_a0402_951	榴红８号街区	2422	272		664-6+6+8
570	spn_outzone_a0402_A50	榴红８号街区	2422	320		666-6+13+15
571	spn_outzone_a0402_B50	榴红８号街区	2318	266		662-0+18+20
572	spn_outzone_a0402_B51	榴红８号街区	2220	361		662-0+18+20
573	spn_outzone_a0402_D00	榴红８号街区	2502	300		670-0+20+22
574	spn_outzone_a0402_D50	榴红８号街区	2232	248		063-0+18+20
575	spn_outzone_a0402_E50	榴红８号街区	2964	556		092-0+15+17++++夜
576	spn_outzone_a0402_F00	榴红８号街区	2992	636		093-0+26+28++++夜
577	spn_outzone_a0402_J00	榴红８号街区	2683	355		133-0+15+17++++日+晴
578	spn_outzone_a0402_K50	榴红８号街区	2760	679		147-0+28+29+20+10+95|148-0+31+32+20+10+5
579	spn_outzone_a0402_L00	榴红８号街区	2895	693		704-0+35+39+20+10+95++雨|705-0+41+42+20+10+5++雨
580	spn_outzone_a0402_P00	榴红８号街区	2929	469		333-0+16+18+++10++晴|661-0+6+8+++90++晴
581	spn_outzone_a0402_P01	榴红８号街区	2886	568		333-0+16+18+++10++晴|661-0+6+8+++90++晴
582	spn_outzone_a0402_P02	榴红８号街区	2879	589		333-0+16+18+++10++晴|661-0+6+8+++90++晴
583	spn_outzone_a0402_350	艾特瓦鲁学校	2389	1384		504-0+12+14
584	spn_outzone_a0402_351	艾特瓦鲁学校	2316	1324		504-0+12+14
585	spn_outzone_a0402_F50	艾特瓦鲁学校	2449	1045		359-0+17+19+20+10
586	spn_outzone_a0402_453	北侧大道	2765	344		661-0+6+8
587	spn_outzone_a0402_456	北侧大道	2305	218		661-0+6+8
588	spn_outzone_a0402_502	北侧大道	2520	188		669-0+10+12
589	spn_outzone_a0402_504	北侧大道	2458	175		669-0+10+12
590	spn_outzone_a0101_050	翡绿１号街区	2482	2410		013-0+5+8
591	spn_outzone_a0101_150	翡绿１号街区	2622	2386		069-0+9+12++++日
592	spn_outzone_a0101_153	翡绿１号街区	2503	2448		069-0+9+12
593	spn_outzone_a0101_154	翡绿１号街区	2532	2470		069-0+9+12
594	spn_outzone_a0101_303	翡绿１号街区	2548	2296		406-0+10+13
595	spn_outzone_a0101_304	翡绿１号街区	2554	2312		406-0+10+13
596	spn_outzone_a0101_351	翡绿１号街区	2353	2279		504-0+11+14
597	spn_outzone_a0101_352	翡绿１号街区	2461	2280		504-0+11+14
598	spn_outzone_a0101_353	翡绿１号街区	2380	2324		504-0+11+14
599	spn_outzone_a0101_354	翡绿１号街区	2381	2238		504-0+11+14
600	spn_outzone_a0101_355	翡绿１号街区	2418	2336		504-0+11+14
601	spn_outzone_a0101_455	翡绿１号街区	2541	2258		661-0+5+8
602	spn_outzone_a0101_458	翡绿１号街区	2764	2349		661-0+5+8
