编号	中文名	日文名	英文名	属性	分类	威力	发动时间	说明
594	飞水手里剑	みずしゅりけん	Water Shuriken	水	特殊	15	3	射出用黏液制成的手里剑，连续攻击５次。
595	魔法火焰	マジカルフレイム	Mystical Fire	火	特殊	75	8	从口中喷出特别灼热的火焰进行攻击。会在一小段时间内降低对手的特攻。
596	尖刺防守	ニードルガード	Spiky Shield	草	变化	—	15	防住对手攻击的同时，削减接触到自己的对手的体力。
598	怪异电波	かいでんぱ	Eerie Impulse	电	变化	—	10	从身体放射出怪异电波，让对手沐浴其中，从而在一段时间内降低对手的特攻。
601	大地掌控	ジオコントロール	Geomancy	妖精	变化	—	30	吸收能量，在一段时间内提高自己的特攻和特防，动作也变得更快。需要一定时间生效。
605	魔法闪耀	マジカルシャイン	Dazzling Gleam	妖精	特殊	80	8	向对手发射强光，并给予伤害。
609	蹭蹭脸颊	ほっぺすりすり	Nuzzle	电	物理	20	6	将带电的脸颊蹭蹭对手进行攻击。让对手陷入麻痹状态。
611	纠缠不休	まとわりつく	Infestation	虫	特殊	20	6	在一段时间内对对手死缠烂打，持续地造成伤害。在此期间对手将无法进行替换。
612	增强拳	グロウパンチ	Power-Up Punch	格斗	物理	40	10	通过挥拳让拳头变硬，会在一小段时间内提高自己的攻击。
613	归天之翼	デスウイング	Oblivion Wing	飞行	特殊	80	12	释放想要破坏的冲动，从锁定的对手身上吸取ＨＰ来回复自己的ＨＰ。
614	千箭齐发	サウザンアロー	Thousand Arrows	地面	物理	90	10	将体内释放的能量化为无数的箭，使其降落进行攻击。也能击中飞行属性的宝可梦。
615	千波激荡	サウザンウェーブ	Thousand Waves	地面	物理	90	10	从地面掀起波浪进行攻击。被掀入波浪中的对手，将无法进行替换。
616	大地神力	グランドフォース	Land’s Wrath	地面	物理	90	8	聚集大地的力量，将此力量集中攻击对手。
617	破灭之光	はめつのひかり	Light of Ruin	妖精	特殊	140	15	借用永恒之花的力量，发射出强力的光线。自己也会受到伤害。
621	异次元猛攻	いじげんラッシュ	Hyperspace Fury	恶	物理	100	10	用许多手臂进行攻击。虽然能够无视守住或看穿进行攻击，但会在一小段时间内降低自己的防御。
670	树叶	このは	Leafage	草	物理	40	6	将叶片打向对手，进行攻击。
679	猛扑	とびかかる	Lunge	虫	物理	80	9	全力猛扑对手进行攻击。从而在一小段时间内降低对手的攻击。
687	核心惩罚者	コアパニッシャー	Core Enforcer	龙	特殊	100	15	仿佛要以Ｚ字的轨迹烧毁一切，发射强力的光束进行攻击。
693	狂舞挥打	ぶんまわす	Brutal Swing	恶	物理	60	6	用自己的身体狂舞挥打，并攻击周围。
710	水流裂破	アクアブレイク	Liquidation	水	物理	85	8	用水之力量进行撞击。有时也会降低对手的防御。
748	背水一战	はいすいのじん	No Retreat	格斗	变化	—	60	下定决心，在一小段时间内提高自己的所有能力，但无法进行替换。
784	广域破坏	ワイドブレイカー	Breaking Swipe	龙	物理	60	9	用坚韧的尾巴进行猛扫攻击，从而在一小段时间内降低对手的攻击。
812	快速折返	クイックターン	Flip Turn	水	物理	60	12	在攻击之后急速回到训练家的身边。
920	归无之光	無に帰す光	Nihil Light	龙	特殊	200	15	释放无视所有法则的强光。连妖精属性的宝可梦也能击中，可不顾对手的能力变化给予伤害。
